"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","1402223064.7","1404496000","0.47","505069","","","/mutual-fund/holding-history/8177/1430/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","1263716100.5","1246025000","0.42","381269","","","/mutual-fund/holding-history/8177/297/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","1249445578.6","1137917000","0.38","716302","","","/mutual-fund/holding-history/8177/338662/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","1054920824.4","1062611000","0.36","526723","","","/mutual-fund/holding-history/8177/147/"
"Bharat Electronics Ltd","BEL","500049","Industrials","1099653750","1052843000","0.35","2737500","","","/mutual-fund/holding-history/8177/175/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","1066664411.55","1012247000","0.34","4228265","","","/mutual-fund/holding-history/8177/974/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","931329875.25","928865000","0.31","2594595","","","/mutual-fund/holding-history/8177/888524/"
"Aditya BSL Nifty Next 50 ETF","ABSLNN50ET","542230","","895150923.75","892456000","0.3","12833705","","","/mutual-fund/holding-history/8177/382140/"
"Sobha Ltd","SOBHA","532784","Real Estate","951006279.8","850788000","0.28","593711","","","/mutual-fund/holding-history/8177/1261/"
"ACC Ltd","ACC","500410","Basic Materials","828736713","839889000","0.28","446085","","","/mutual-fund/holding-history/8177/22/"
"Siemens Ltd","SIEMENS","500550","Industrials","836194874","822370000","0.28","251828","","","/mutual-fund/holding-history/8177/1237/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","798840000","809130000","0.27","21000","","","/mutual-fund/holding-history/8177/569/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","817935113.1","805299000","0.27","201219","","","/mutual-fund/holding-history/8177/53208/"
"Aditya Birla Capital Ltd","ABCAPITAL","540691","Financial Services","849870047.04","741470000","0.25","3332301","","","/mutual-fund/holding-history/8177/61684/"
"Siemens Engy Ind","","","","","718664000","0.24","290000","","",""
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","755094087","707410000","0.24","2124034","","","/mutual-fund/holding-history/8177/2755533/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","695295712.8","661594000","0.22","1563868","","","/mutual-fund/holding-history/8177/2734936/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","614853921.3","618654000","0.21","1117713","","","/mutual-fund/holding-history/8177/71/"
"Zee Entertainment Enterprises Ltd","ZEEL","505537","Communication Services","622250769.9","594143000","0.2","4555610","","","/mutual-fund/holding-history/8177/1537/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","677466232.4","585418000","0.2","399167","","","/mutual-fund/holding-history/8177/1071/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","550627582","522028000","0.17","282605","","","/mutual-fund/holding-history/8177/2710663/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","394616949.85","397831000","0.13","486971","-545058","-52.81","/mutual-fund/holding-history/8177/625/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","169314129.9","165562000","0.06","88281","","","/mutual-fund/holding-history/8177/61147/"
