"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","37413073.7","35253000","0.68","34897","34897","New","/mutual-fund/holding-history/358532/4826/"
"Cipla Ltd","CIPLA","500087","Healthcare","33090793.8","34198000","0.66","22062","","","/mutual-fund/holding-history/358532/268/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","33337210","34142000","0.66","111050","","","/mutual-fund/holding-history/358532/1057/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","31239451","29376000","0.57","10994","","","/mutual-fund/holding-history/358532/1430/"
"DLF Ltd","DLF","532868","Real Estate","30490896.9","28719000","0.55","42591","","","/mutual-fund/holding-history/358532/337/"
"P N Gadgil Jewellers Ltd","PNGJL","544256","Consumer Cyclical","30535002.1","28691000","0.55","56146","","","/mutual-fund/holding-history/358532/2618334/"
"KPI Green Energy Ltd","KPIGREEN","542323","Utilities","32391666.45","27983000","0.54","73359","","","/mutual-fund/holding-history/358532/125099/"
"Polycab India Ltd","POLYCAB","542652","Industrials","28156590","25502000","0.49","4620","","","/mutual-fund/holding-history/358532/139599/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","26500663.1","25493000","0.49","21533","","","/mutual-fund/holding-history/358532/346/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","26458289.6","25236000","0.49","8716","","","/mutual-fund/holding-history/358532/297/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","25631087","24097000","0.46","92531","","","/mutual-fund/holding-history/358532/1564869/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","21934564","20166000","0.39","1388","","","/mutual-fund/holding-history/358532/202203/"
"Siemens Engy Ind","","","","","19498000","0.38","7868","7868","New",""
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","22467098","18903000","0.36","12070","","","/mutual-fund/holding-history/358532/67/"
"KSB Ltd","KSB","500249","Industrials","11649750","10990000","0.21","15000","","","/mutual-fund/holding-history/358532/768/"
