"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Lupin Ltd","LUPIN","500257","Healthcare","3627238461.6","3693562000","0.51","1905863","","","/mutual-fund/holding-history/9508/804/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","3069840616.1","3082297000","0.43","4448722","","","/mutual-fund/holding-history/9508/549/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","2841535183.4","2908181000","0.4","597187","-129367","-17.81","/mutual-fund/holding-history/9508/80502/"
"Siemens Ltd","SIEMENS","500550","Industrials","2809771434.2","2907878000","0.4","894319","","","/mutual-fund/holding-history/9508/1237/"
"Wipro Ltd","WIPRO","507685","Technology","2806093040.1","2873949000","0.4","10805133","","","/mutual-fund/holding-history/9508/1526/"
"ABB India Ltd","ABB","500002","Industrials","2529403070","2672465000","0.37","439514","","","/mutual-fund/holding-history/9508/17/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","2719339431.84","2664632000","0.37","16678971","","","/mutual-fund/holding-history/9508/1366/"
"Siemens Energy India Ltd","ENRIN","544390","Utilities","2719875176","2660425000","0.37","893990","893990","New","/mutual-fund/holding-history/9508/3145560/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","2403061500","2426527000","0.34","289700","","","/mutual-fund/holding-history/9508/144/"
"Vedanta Ltd","VEDL","500295","Basic Materials","2172879715.2","2222307000","0.31","4822192","","","/mutual-fund/holding-history/9508/1289/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","1904285930.4","2007520000","0.28","1218821","","","/mutual-fund/holding-history/9508/845/"
"NHPC Ltd","NHPC","533098","Utilities","1715686938.37","1705353000","0.24","19873589","","","/mutual-fund/holding-history/9508/938/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","1537919900","1641400000","0.23","33220","","","/mutual-fund/holding-history/9508/994/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","1063227594.6","1109858000","0.15","380349","","","/mutual-fund/holding-history/9508/1430/"
"Cipla Ltd","CIPLA","500087","Healthcare","1008725580.8","1037312000","0.14","688832","","","/mutual-fund/holding-history/9508/268/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","485736396","982872000","0.14","3917229","","","/mutual-fund/holding-history/9508/114/"
"Oil India Ltd","OIL","533106","Energy","998004809.25","960194000","0.13","2211155","","","/mutual-fund/holding-history/9508/965/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","681399293.85","721250000","0.1","741417","","","/mutual-fund/holding-history/9508/829878/"
"Bharti Airtel Ltd (Partly Paid Rs.1.25)","AIRTELPP","890157","Communication Services","649755000","688298000","0.1","450000","","","/mutual-fund/holding-history/9508/715100/"
"Gillette India Ltd","GILLETTE","507815","Consumer Defensive","654377868","645941000","0.09","59209","","","/mutual-fund/holding-history/9508/456/"
"Indian Oil Corp Ltd","IOC","530965","Energy","597651015.36","577910000","0.08","3932432","3712719","1689.8","/mutual-fund/holding-history/9508/639/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","290417664.68","462416000","0.06","2986607","-155302","-4.94","/mutual-fund/holding-history/9508/878/"
"Gujarat Pipavav Port Ltd","GPPL","533248","Industrials","418350667.32","418040000","0.06","2588163","","","/mutual-fund/holding-history/9508/487/"
"LTIMindtree Ltd","LTIM","540005","Technology","366658297.5","376683000","0.05","70845","","","/mutual-fund/holding-history/9508/4596/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","293118534.4","268479000","0.04","199999","","","/mutual-fund/holding-history/9508/198/"
