"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","617562500","646263000","0.62","2050000","","","https://trendlyne.com/mutual-fund/holding-history/11302/502/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","605580525","631820000","0.61","168850","6750","4.16","https://trendlyne.com/mutual-fund/holding-history/11302/1409/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","665014129.4","606372000","0.59","142094","","","https://trendlyne.com/mutual-fund/holding-history/11302/53208/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","609185000","594987000","0.58","365000","","","https://trendlyne.com/mutual-fund/holding-history/11302/962/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","554493525.15","555179000","0.54","5713483","-1525200","-21.07","https://trendlyne.com/mutual-fund/holding-history/11302/878/"
"Bharat Electronics Ltd","BEL","500049","Industrials","518405416.2","527984000","0.51","1378188","","","https://trendlyne.com/mutual-fund/holding-history/11302/175/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","528170327.7","502175000","0.49","1243778","","","https://trendlyne.com/mutual-fund/holding-history/11302/2755533/"
"Anthem Biosciences Ltd","ANTHEM","544449","Healthcare","494399733.5","465143000","0.45","612715","612715","New","https://trendlyne.com/mutual-fund/holding-history/11302/3161384/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","438630500","450104000","0.44","385000","","","https://trendlyne.com/mutual-fund/holding-history/11302/184/"
"Brainbees Solutions Ltd","FIRSTCRY","544226","Consumer Cyclical","462363317.6","441961000","0.43","1287203","","","https://trendlyne.com/mutual-fund/holding-history/11302/2487439/"
"Astra Microwave Products Ltd","ASTRAMICRO","532493","Technology","408729600","368486000","0.36","384000","","","https://trendlyne.com/mutual-fund/holding-history/11302/123/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","350284375","344817000","0.33","59750","59750","New","https://trendlyne.com/mutual-fund/holding-history/11302/220/"
"Mahindra Lifespace Developers Ltd","MAHLIFE","532313","Real Estate","314600000","332967000","0.32","893750","","","https://trendlyne.com/mutual-fund/holding-history/11302/818/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","197479185.5","236986000","0.23","37483","-13852","-26.98","https://trendlyne.com/mutual-fund/holding-history/11302/169/"
"India Cements Ltd","INDIACEM","530005","Basic Materials","155731591.65","149825000","0.14","405921","34380","9.25","https://trendlyne.com/mutual-fund/holding-history/11302/607/"
"Bharti Airtel Ltd (Partly Paid Rs.1.25)","AIRTELPP","890157","Communication Services","128882897.5","128530000","0.12","89285","","","https://trendlyne.com/mutual-fund/holding-history/11302/715100/"
