"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"GAIL (India) Ltd","GAIL","532155","Utilities","2663537817.89","2627310000","0.66","14786753","","","https://trendlyne.com/mutual-fund/holding-history/9386/431/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","2620101950.3","2599574000","0.65","5782613","","","https://trendlyne.com/mutual-fund/holding-history/9386/547977/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","2368154214.8","2459652000","0.62","5999884","","","https://trendlyne.com/mutual-fund/holding-history/9386/1026/"
"UPL Ltd","UPL","512070","Basic Materials","2478669437.6","2453914000","0.61","3486664","-451748","-11.47","https://trendlyne.com/mutual-fund/holding-history/9386/1455/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","2164403935.8","2400260000","0.6","2105861","","","https://trendlyne.com/mutual-fund/holding-history/9386/132/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","2545381975.2","2331994000","0.58","812598","","","https://trendlyne.com/mutual-fund/holding-history/9386/1037/"
"L&T Finance Ltd","LTF","533519","Financial Services","2443678581.54","2224611000","0.56","10980851","-1801376","-14.09","https://trendlyne.com/mutual-fund/holding-history/9386/777/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","2061922044","2150139000","0.54","363783","-45000","-11.01","https://trendlyne.com/mutual-fund/holding-history/9386/1784/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","2068521601.9","1987494000","0.5","2984449","","","https://trendlyne.com/mutual-fund/holding-history/9386/1362/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","2054820621.45","1977968000","0.49","6123739","","","https://trendlyne.com/mutual-fund/holding-history/9386/2020/"
"Siemens Energy India Ltd","ENRIN","544390","Utilities","2160364640","1964900000","0.49","606844","-282207","-31.74","https://trendlyne.com/mutual-fund/holding-history/9386/3145560/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","1973158288.08","1964761000","0.49","8152536","","","https://trendlyne.com/mutual-fund/holding-history/9386/974/"
"LTIMindtree Ltd","LTIM","540005","Technology","1864794672","1819886000","0.46","356421","-17500","-4.68","https://trendlyne.com/mutual-fund/holding-history/9386/4596/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","1785304850.1","1728034000","0.43","2332817","2332817","New","https://trendlyne.com/mutual-fund/holding-history/9386/606/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","1604349046","1666600000","0.42","5061038","","","https://trendlyne.com/mutual-fund/holding-history/9386/215/"
