"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","4465327988.8","3821386000","0.87","1775902","","","https://trendlyne.com/mutual-fund/holding-history/8906/2710663/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","3628395664","3666506000","0.83","37732900","","","https://trendlyne.com/mutual-fund/holding-history/8906/878/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","3642309391.25","3608395000","0.82","34606265","","","https://trendlyne.com/mutual-fund/holding-history/8906/2789016/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","3539398876.3","3584235000","0.81","4439231","","","https://trendlyne.com/mutual-fund/holding-history/8906/188792/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","3735933723.6","3490871000","0.79","2325077","","","https://trendlyne.com/mutual-fund/holding-history/8906/845/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","3299644804.5","3332975000","0.75","589907","","","https://trendlyne.com/mutual-fund/holding-history/8906/94155/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","3105279164.8","3301629000","0.75","1713352","-14386","-0.83","https://trendlyne.com/mutual-fund/holding-history/8906/61147/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","3153396960","3212836000","0.73","104279","15303","17.2","https://trendlyne.com/mutual-fund/holding-history/8906/1226/"
"Siemens Ltd","SIEMENS","500550","Industrials","3380745705.9","3194653000","0.72","1053159","","","https://trendlyne.com/mutual-fund/holding-history/8906/1237/"
"Havells India Ltd","HAVELLS","517354","Industrials","3157099970","3000345000","0.68","1999430","1999430","New","https://trendlyne.com/mutual-fund/holding-history/8906/525/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","2867600000","2886400000","0.65","2000000","500000","33.33","https://trendlyne.com/mutual-fund/holding-history/8906/262/"
"Cipla Ltd","CIPLA","500087","Healthcare","2852788818","2788222000","0.63","1793530","1793530","New","https://trendlyne.com/mutual-fund/holding-history/8906/268/"
"Gillette India Ltd","GILLETTE","507815","Consumer Defensive","2264203760","2403539000","0.54","221872","-709","-0.32","https://trendlyne.com/mutual-fund/holding-history/8906/456/"
"HDB Financial Services Ltd","HDBFS","544429","Financial Services","2461905659.5","2393436000","0.54","3155278","3155278","New","https://trendlyne.com/mutual-fund/holding-history/8906/3147463/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","2456056275.05","2305318000","0.52","5709767","","","https://trendlyne.com/mutual-fund/holding-history/8906/2755533/"
"One97 Communications Ltd","PAYTM","543396","Technology","2553800000","2178700000","0.49","2000000","-200000","-9.09","https://trendlyne.com/mutual-fund/holding-history/8906/712312/"
"Coal India Ltd","COALINDIA","533278","Energy","2209217995.6","2167464000","0.49","5759171","-1289784","-18.3","https://trendlyne.com/mutual-fund/holding-history/8906/275/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","2325659724.42","2163929000","0.49","13267498","2143479","19.27","https://trendlyne.com/mutual-fund/holding-history/8906/616664/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","2126469916","2159873000","0.49","1091617","1091617","New","https://trendlyne.com/mutual-fund/holding-history/8906/758/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","1918050000","1888500000","0.43","1500000","200000","15.38","https://trendlyne.com/mutual-fund/holding-history/8906/476/"
"Tech Mahindra Ltd","TECHM","532755","Technology","1882374816","1826229000","0.41","1247680","","","https://trendlyne.com/mutual-fund/holding-history/8906/1374/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","1835592069.15","1708292000","0.39","2500977","","","https://trendlyne.com/mutual-fund/holding-history/8906/549/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","1670467200.49","1668223000","0.38","7013171","","","https://trendlyne.com/mutual-fund/holding-history/8906/162/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","1472654875","1552545000","0.35","40045","","","https://trendlyne.com/mutual-fund/holding-history/8906/569/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","1476662394.3","1540743000","0.35","3758367","","","https://trendlyne.com/mutual-fund/holding-history/8906/1026/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","1384095430","1422729000","0.32","216434","","","https://trendlyne.com/mutual-fund/holding-history/8906/791/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","1268908337.4","1395792000","0.32","675994","-200000","-22.83","https://trendlyne.com/mutual-fund/holding-history/8906/338662/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","1440243242.9","1348700000","0.31","600677","","","https://trendlyne.com/mutual-fund/holding-history/8906/276/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","1128310398.6","1105882000","0.25","402666","","","https://trendlyne.com/mutual-fund/holding-history/8906/490/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","1068416700","955459000","0.22","955650","","","https://trendlyne.com/mutual-fund/holding-history/8906/1087/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","947291253.7","936133000","0.21","516601","","","https://trendlyne.com/mutual-fund/holding-history/8906/710819/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","894957883.2","919739000","0.21","786707","","","https://trendlyne.com/mutual-fund/holding-history/8906/184/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","785276100.7","832108000","0.19","427687","452","0.11","https://trendlyne.com/mutual-fund/holding-history/8906/1437/"
