"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","873600864.3","1868583000","9.75","925866","2432","0.26","https://trendlyne.com/mutual-fund/holding-history/9713/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1488656536.6","1584378000","8.26","1069514","-7556","-0.7","https://trendlyne.com/mutual-fund/holding-history/9713/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1382327018.8","1398422000","7.29","1005914","","","https://trendlyne.com/mutual-fund/holding-history/9713/1127/"
"Infosys Ltd","INFY","500209","Technology","734852872.6","748948000","3.91","496321","8344","1.71","https://trendlyne.com/mutual-fund/holding-history/9713/630/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","661226253.6","670451000","3.5","627528","4371","0.7","https://trendlyne.com/mutual-fund/holding-history/9713/140/"
"NTPC Ltd","NTPC","532555","Utilities","619741230","615140000","3.21","1840360","","","https://trendlyne.com/mutual-fund/holding-history/9713/959/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","637477398","603183000","3.15","1959660","-6269","-0.32","https://trendlyne.com/mutual-fund/holding-history/9713/589490/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","526219890.4","517083000","2.7","161432","","","https://trendlyne.com/mutual-fund/holding-history/9713/807/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","496549936.8","505421000","2.64","264024","10025","3.95","https://trendlyne.com/mutual-fund/holding-history/9713/187/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","460733065","500053000","2.61","292994","","","https://trendlyne.com/mutual-fund/holding-history/9713/1316/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","478747335.2","494551000","2.58","946328","","","https://trendlyne.com/mutual-fund/holding-history/9713/4813/"
"State Bank of India","SBIN","500112","Financial Services","465468068.1","457682000","2.39","574581","","","https://trendlyne.com/mutual-fund/holding-history/9713/1193/"
"One97 Communications Ltd","PAYTM","543396","Technology","527311177.8","449860000","2.35","412962","-39305","-8.69","https://trendlyne.com/mutual-fund/holding-history/9713/712312/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","450918508","441939000","2.3","145528","1840","1.28","https://trendlyne.com/mutual-fund/holding-history/9713/1372/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","439068162.1","437250000","2.28","224461","","","https://trendlyne.com/mutual-fund/holding-history/9713/147/"
"Larsen & Toubro Ltd","LT","500510","Industrials","414814702.5","421656000","2.2","115951","","","https://trendlyne.com/mutual-fund/holding-history/9713/800/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","382695323.4","370087000","1.93","135722","-2124","-1.54","https://trendlyne.com/mutual-fund/holding-history/9713/67/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","326677850","332219000","1.73","180485","18009","11.08","https://trendlyne.com/mutual-fund/holding-history/9713/60957/"
"ITC Ltd","ITC","500875","Consumer Defensive","327584626","328542000","1.71","797528","-135952","-14.56","https://trendlyne.com/mutual-fund/holding-history/9713/647/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","279856746.5","290625000","1.52","49171","-1806","-3.54","https://trendlyne.com/mutual-fund/holding-history/9713/1784/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","277472348.3","271957000","1.42","99023","","","https://trendlyne.com/mutual-fund/holding-history/9713/490/"
"Coforge Ltd","COFORGE","532541","Technology","249286649.5","252361000","1.32","144355","-2182","-1.49","https://trendlyne.com/mutual-fund/holding-history/9713/942/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","241517968","249213000","1.3","420470","-6526","-1.53","https://trendlyne.com/mutual-fund/holding-history/9713/71/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","231817961.4","248078000","1.29","316951","-23680","-6.95","https://trendlyne.com/mutual-fund/holding-history/9713/450809/"
"Tech Mahindra Ltd","TECHM","532755","Technology","239622294.9","232475000","1.21","158827","9132","6.1","https://trendlyne.com/mutual-fund/holding-history/9713/1374/"
