"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","2319395305.4","2389731000","0.59","2105861","","","/mutual-fund/holding-history/9386/132/"
"Wipro Ltd","WIPRO","507685","Technology","2154245780.4","2206339000","0.54","8295132","","","/mutual-fund/holding-history/9386/1526/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","2057270117.05","2174846000","0.53","6123739","","","/mutual-fund/holding-history/9386/2020/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","1947955325.05","2150921000","0.53","3042967","-91585","-2.92","/mutual-fund/holding-history/9386/1288/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","2009727956.6","2053301000","0.5","2984449","","","/mutual-fund/holding-history/9386/1362/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","2008866395.76","1990931000","0.49","8152536","-26849","-0.33","/mutual-fund/holding-history/9386/974/"
"LTIMindtree Ltd","LTIM","540005","Technology","1935228135.5","1988138000","0.49","373921","-33367","-8.19","/mutual-fund/holding-history/9386/4596/"
"Lodha Developers Ltd","LODHA","543287","Real Estate","1873228951.7","1797770000","0.44","1298779","-434811","-25.08","/mutual-fund/holding-history/9386/460813/"
"Biocon Ltd","BIOCON","532523","Healthcare","1924742934.4","1768159000","0.43","4970927","2129402","74.94","/mutual-fund/holding-history/9386/197/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1453982020","1686435000","0.41","271240","-55684","-17.03","/mutual-fund/holding-history/9386/1412/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","1722524283.3","1680012000","0.41","5061038","3268967","182.41","/mutual-fund/holding-history/9386/215/"
"Bharat Electronics Ltd","BEL","500049","Industrials","1565275997.6","1636725000","0.4","3883096","-2173085","-35.88","/mutual-fund/holding-history/9386/175/"
"EPL Ltd Ordinary Shares","EPL","500135","Consumer Cyclical","1323345002.7","1390054000","0.34","5706533","-395698","-6.48","/mutual-fund/holding-history/9386/393/"
"Go Digit General Insurance Ltd","GODIGIT","544179","Financial Services","1337963954.4","1358339000","0.33","3773164","-2068138","-35.41","/mutual-fund/holding-history/9386/2266638/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","1230848590","1273607000","0.31","1037815","","","/mutual-fund/holding-history/9386/712/"
"Titagarh Rail Systems Ltd","TITAGARH","532966","Industrials","1218384148.5","1241493000","0.3","1316745","","","/mutual-fund/holding-history/9386/1434/"
"Havells India Ltd","HAVELLS","517354","Industrials","1258111049.4","1236194000","0.3","796979","","","/mutual-fund/holding-history/9386/525/"
"Siemens Ltd","SIEMENS","500550","Industrials","1143775431.8","1183712000","0.29","364051","-75000","-17.08","/mutual-fund/holding-history/9386/1237/"
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","1180115203","1115457000","0.27","2540614","-36785","-1.43","/mutual-fund/holding-history/9386/623875/"
"ABB India Ltd","ABB","500002","Industrials","1017173230","1074704000","0.26","176746","","","/mutual-fund/holding-history/9386/17/"
"Restaurant Brands Asia Ltd Ordinary Shares","RBA","543248","Consumer Cyclical","911815070","887099000","0.22","10746200","","","/mutual-fund/holding-history/9386/357598/"
"Sobha Ltd","SOBHA","532784","Real Estate","969857656.8","849843000","0.21","579781","","","/mutual-fund/holding-history/9386/1261/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","825712683.75","819003000","0.2","2485215","","","/mutual-fund/holding-history/9386/502/"
"General Insurance Corp of India","GICRE","540755","Financial Services","483980627.4","485683000","0.12","1261023","","","/mutual-fund/holding-history/9386/63527/"
"Cipla Ltd","CIPLA","500087","Healthcare","266021439.6","273560000","0.07","181659","","","/mutual-fund/holding-history/9386/268/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","6123074.9","5431000","0","2221","","","/mutual-fund/holding-history/9386/153/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","543715.2","573000","0","348","","","/mutual-fund/holding-history/9386/845/"
