"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","4877614260","5274685000","1.19","799740","","","https://trendlyne.com/mutual-fund/holding-history/8906/336/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","5295503808","5150531000","1.17","6953130","","","https://trendlyne.com/mutual-fund/holding-history/8906/606/"
"Siemens Energy India Ltd","ENRIN","544390","Utilities","5523499351.7","5028974000","1.14","1553159","","","https://trendlyne.com/mutual-fund/holding-history/8906/3145560/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","5204628310.2","4872743000","1.1","2033614","","","https://trendlyne.com/mutual-fund/holding-history/8906/117/"
"Vedanta Ltd","VEDL","500295","Basic Materials","4617733970","4551965000","1.03","10694150","","","https://trendlyne.com/mutual-fund/holding-history/8906/1289/"
"ABB India Ltd","ABB","500002","Industrials","4197157230","4494915000","1.02","815774","","","https://trendlyne.com/mutual-fund/holding-history/8906/17/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","4349899785.6","4343849000","0.98","27503160","","","https://trendlyne.com/mutual-fund/holding-history/8906/1366/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","4285432070.9","4211268000","0.95","3924029","320183","8.88","https://trendlyne.com/mutual-fund/holding-history/8906/1359/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","4333175000","4155250000","0.94","5500000","-500000","-8.33","https://trendlyne.com/mutual-fund/holding-history/8906/65394/"
"EIH Ltd","EIHOTEL","500840","Consumer Cyclical","4314114054","4029726000","0.91","10731627","","","https://trendlyne.com/mutual-fund/holding-history/8906/363/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","4159533453.6","4000637000","0.91","6007414","","","https://trendlyne.com/mutual-fund/holding-history/8906/1362/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","4335864733","3821386000","0.87","1775902","","","https://trendlyne.com/mutual-fund/holding-history/8906/2710663/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","3652544720","3666506000","0.83","37732900","","","https://trendlyne.com/mutual-fund/holding-history/8906/878/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","3636426326.2","3608395000","0.82","34606265","","","https://trendlyne.com/mutual-fund/holding-history/8906/2789016/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","3568919762.45","3584235000","0.81","4439231","","","https://trendlyne.com/mutual-fund/holding-history/8906/188792/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","3791735571.6","3490871000","0.79","2325077","","","https://trendlyne.com/mutual-fund/holding-history/8906/845/"
