"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","31309953.6","30306000","0.58","40912","","","https://trendlyne.com/mutual-fund/holding-history/358532/606/"
"Tech Mahindra Ltd","TECHM","532755","Technology","31230084.6","30179000","0.58","20618","20618","New","https://trendlyne.com/mutual-fund/holding-history/358532/1374/"
"Engineers India Ltd","ENGINERSIN","532178","Industrials","28329611.8","29372000","0.56","137389","-50101","-26.72","https://trendlyne.com/mutual-fund/holding-history/358532/380/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","28087237.5","27649000","0.53","4791","4791","New","https://trendlyne.com/mutual-fund/holding-history/358532/220/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","27297384.1","27353000","0.52","21533","","","https://trendlyne.com/mutual-fund/holding-history/358532/346/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","25647617.8","26107000","0.5","18751","18751","New","https://trendlyne.com/mutual-fund/holding-history/358532/913/"
"Siemens Energy India Ltd","ENRIN","544390","Utilities","28010080","25476000","0.49","7868","","","https://trendlyne.com/mutual-fund/holding-history/358532/3145560/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","27348688","25130000","0.48","5008","3076","159.21","https://trendlyne.com/mutual-fund/holding-history/358532/1412/"
"Manappuram Finance Ltd","MANAPPURAM","531213","Financial Services","18761060.5","16829000","0.32","66505","","","https://trendlyne.com/mutual-fund/holding-history/358532/827/"
"Zaggle Prepaid Ocean Services Ltd","ZAGGLE","543985","Technology","15677110.4","14729000","0.28","38848","-81199","-67.64","https://trendlyne.com/mutual-fund/holding-history/358532/1690561/"
"CSB Bank Ltd Ordinary Shares","CSBBANK","542867","Financial Services","11700204.5","13093000","0.25","31159","31159","New","https://trendlyne.com/mutual-fund/holding-history/358532/174482/"
"KSB Ltd","KSB","500249","Industrials","12500250","12579000","0.24","15000","","","https://trendlyne.com/mutual-fund/holding-history/358532/768/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","9162000","9893000","0.19","1500","1500","New","https://trendlyne.com/mutual-fund/holding-history/358532/336/"
