"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","82315302","176068000","8.7","87240","","","https://trendlyne.com/mutual-fund/holding-history/541121/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","100216800","106661000","5.27","72000","5800","8.76","https://trendlyne.com/mutual-fund/holding-history/541121/584/"
"State Bank of India","SBIN","500112","Financial Services","99145708.7","97487000","4.82","122387","","","https://trendlyne.com/mutual-fund/holding-history/541121/1193/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","75581000","76461000","3.78","55000","","","https://trendlyne.com/mutual-fund/holding-history/541121/1127/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","60507200","65608000","3.24","104000","","","https://trendlyne.com/mutual-fund/holding-history/541121/1288/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","63125000","63515000","3.14","50000","5000","11.11","https://trendlyne.com/mutual-fund/holding-history/541121/346/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","72437349.6","61991000","3.06","28809","8300","40.47","https://trendlyne.com/mutual-fund/holding-history/541121/2710663/"
"ITC Ltd","ITC","500875","Consumer Defensive","61612500","61793000","3.05","150000","95000","172.73","https://trendlyne.com/mutual-fund/holding-history/541121/647/"
"NTPC Ltd","NTPC","532555","Utilities","61962000","61502000","3.04","184000","","","https://trendlyne.com/mutual-fund/holding-history/541121/959/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","63960200","60965000","3.01","386000","61000","18.77","https://trendlyne.com/mutual-fund/holding-history/541121/1366/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","57568400","59043000","2.92","43000","15500","56.36","https://trendlyne.com/mutual-fund/holding-history/541121/27/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","56291200","58085000","2.87","98000","29500","43.07","https://trendlyne.com/mutual-fund/holding-history/541121/71/"
"Vedanta Ltd","VEDL","500295","Basic Materials","59305500","57463000","2.84","135000","","","https://trendlyne.com/mutual-fund/holding-history/541121/1289/"
"Coforge Ltd","COFORGE","532541","Technology","56702761.5","57402000","2.84","32835","-6610","-16.76","https://trendlyne.com/mutual-fund/holding-history/541121/942/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","49002800","49873000","2.46","11000","-1000","-8.33","https://trendlyne.com/mutual-fund/holding-history/541121/80502/"
"Tech Mahindra Ltd","TECHM","532755","Technology","47222310","45814000","2.26","31300","3300","11.79","https://trendlyne.com/mutual-fund/holding-history/541121/1374/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","44160000","40168000","1.98","12000","2400","25","https://trendlyne.com/mutual-fund/holding-history/541121/1403/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","39578400","40158000","1.98","138000","","","https://trendlyne.com/mutual-fund/holding-history/541121/1057/"
"Bharat Electronics Ltd","BEL","500049","Industrials","37780000","38310000","1.89","100000","","","https://trendlyne.com/mutual-fund/holding-history/541121/175/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","38385400","36320000","1.79","118000","","","https://trendlyne.com/mutual-fund/holding-history/541121/589490/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","36438181.5","36099000","1.78","346206","-289794","-45.57","https://trendlyne.com/mutual-fund/holding-history/541121/2789016/"
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","36573800","35642000","1.76","34000","","","https://trendlyne.com/mutual-fund/holding-history/541121/699/"
"Infosys Ltd","INFY","500209","Technology","32573200","33198000","1.64","22000","","","https://trendlyne.com/mutual-fund/holding-history/541121/630/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","34740000","31208000","1.54","25000","-8000","-24.24","https://trendlyne.com/mutual-fund/holding-history/541121/100478/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","29026650","30144000","1.49","5100","","","https://trendlyne.com/mutual-fund/holding-history/541121/1784/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","29002500","29831000","1.47","75000","-15000","-16.67","https://trendlyne.com/mutual-fund/holding-history/541121/1364/"
"Quality Power Electrical Equipments Ltd","QPOWER","544367","Industrials","34359000","29626000","1.46","39000","","","https://trendlyne.com/mutual-fund/holding-history/541121/2978666/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","28210500","28715000","1.42","15000","2500","20","https://trendlyne.com/mutual-fund/holding-history/541121/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","28083375","28547000","1.41","7850","","","https://trendlyne.com/mutual-fund/holding-history/541121/800/"
"Siemens Energy India Ltd","ENRIN","544390","Utilities","29861350","27522000","1.36","8500","2500","41.67","https://trendlyne.com/mutual-fund/holding-history/541121/3145560/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","27266800","26724000","1.32","8800","","","https://trendlyne.com/mutual-fund/holding-history/541121/1372/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","27500000","25505000","1.26","50000","-16000","-24.24","https://trendlyne.com/mutual-fund/holding-history/541121/1373/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","23919000","24222000","1.2","30000","-12000","-28.57","https://trendlyne.com/mutual-fund/holding-history/541121/188792/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","23711000","24113000","1.19","13100","","","https://trendlyne.com/mutual-fund/holding-history/541121/60957/"
"Gabriel India Ltd","GABRIEL","505714","Consumer Cyclical","25983300","21782000","1.08","21000","21000","New","https://trendlyne.com/mutual-fund/holding-history/541121/429/"
"Sky Gold and Diamonds Ltd","","541967","Consumer Cyclical","22057500","21664000","1.07","75000","","","https://trendlyne.com/mutual-fund/holding-history/541121/109637/"
"REC Ltd","RECLTD","532955","Financial Services","19567625","21143000","1.04","53500","","","https://trendlyne.com/mutual-fund/holding-history/541121/1119/"
"Glenmark Pharmaceuticals Ltd","GLENMARK","532296","Healthcare","18846100","20274000","1","9500","9500","New","https://trendlyne.com/mutual-fund/holding-history/541121/464/"
"Shakti Pumps (India) Ltd","SHAKTIPUMP","531431","Industrials","17945951.9","19423000","0.96","21787","21787","New","https://trendlyne.com/mutual-fund/holding-history/541121/1211/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","16825750","18262000","0.9","10700","","","https://trendlyne.com/mutual-fund/holding-history/541121/1316/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","17864250","17840000","0.88","75000","","","https://trendlyne.com/mutual-fund/holding-history/541121/162/"
"Siemens Ltd","SIEMENS","500550","Industrials","16371510","15470000","0.76","5100","","","https://trendlyne.com/mutual-fund/holding-history/541121/1237/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","16942500","15430000","0.76","2500","-900","-26.47","https://trendlyne.com/mutual-fund/holding-history/541121/1124672/"
"HDB Financial Services Ltd","HDBFS","544429","Financial Services","15605000","15171000","0.75","20000","20000","New","https://trendlyne.com/mutual-fund/holding-history/541121/3147463/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","14426000","14968000","0.74","4000","-3963","-49.77","https://trendlyne.com/mutual-fund/holding-history/541121/1409/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","18725000","14912000","0.74","3500","-500","-12.5","https://trendlyne.com/mutual-fund/holding-history/541121/540/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","14131800","12914000","0.64","4500","","","https://trendlyne.com/mutual-fund/holding-history/541121/1037/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","9802625","10273000","0.51","17500","","","https://trendlyne.com/mutual-fund/holding-history/541121/157/"
"DLF Ltd","DLF","532868","Real Estate","9153600","9411000","0.46","12000","","","https://trendlyne.com/mutual-fund/holding-history/541121/337/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","9702900","9032000","0.45","1800","","","https://trendlyne.com/mutual-fund/holding-history/541121/1412/"
"Zaggle Prepaid Ocean Services Ltd","ZAGGLE","543985","Technology","7996974","7568000","0.37","19960","-10000","-33.38","https://trendlyne.com/mutual-fund/holding-history/541121/1690561/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","471940","427000","0.02","100","-3400","-97.14","https://trendlyne.com/mutual-fund/holding-history/541121/53208/"
