"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","120424090","114615000","0.95","74566","74566","New","/mutual-fund/holding-history/424603/1036/"
"Oracle Financial Services Software Ltd","OFSS","532466","Technology","130545700","113821000","0.95","13450","","","/mutual-fund/holding-history/424603/964/"
"Lupin Ltd","LUPIN","500257","Healthcare","115464123","112376000","0.94","57402","","","/mutual-fund/holding-history/424603/804/"
"Premier Energies Ltd","PREMIERENE","544238","Technology","107925833.4","111334000","0.93","104874","","","/mutual-fund/holding-history/424603/2571009/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","110271910","109785000","0.91","270440","","","/mutual-fund/holding-history/424603/1026/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","109414763.5","109196000","0.91","95135","","","/mutual-fund/holding-history/424603/132/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","106354707","108633000","0.9","114483","","","/mutual-fund/holding-history/424603/677/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","110865876","108468000","0.9","103807","103807","New","/mutual-fund/holding-history/424603/4826/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","107031834","106307000","0.89","18837","2139","12.81","/mutual-fund/holding-history/424603/1412/"
"Anant Raj Ltd","ANANTRAJ","515055","Real Estate","103492539","105792000","0.88","188511","188511","New","/mutual-fund/holding-history/424603/78/"
"GlaxoSmithKline Pharmaceuticals Ltd","GLAXO","500660","Healthcare","105497405.8","104496000","0.87","31679","","","/mutual-fund/holding-history/424603/463/"
"Engineers India Ltd","ENGINERSIN","532178","Industrials","101188916.4","103480000","0.86","450931","","","/mutual-fund/holding-history/424603/380/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","98064056.25","102791000","0.86","113625","","","/mutual-fund/holding-history/424603/745/"
"Mazagon Dock Shipbuilders Ltd","MAZDOCK","543237","Industrials","92845362","101904000","0.85","29298","29298","New","/mutual-fund/holding-history/424603/305195/"
"Aegis Vopak Terminals Ltd","AEGISVOPAK","544407","Energy","101892340","101849000","0.85","433400","433400","New","/mutual-fund/holding-history/424603/3113228/"
"Granules India Ltd","GRANULES","532482","Healthcare","96878223","99465000","0.83","187476","","","/mutual-fund/holding-history/424603/488/"
"Timken India Ltd","TIMKEN","522113","Industrials","103020816","99137000","0.83","31728","","","/mutual-fund/holding-history/424603/1399/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","103300297.5","98760000","0.82","233447","24998","11.99","/mutual-fund/holding-history/424603/2734936/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","98187660","93378000","0.78","69800","","","/mutual-fund/holding-history/424603/141324/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","92010422.1","92475000","0.77","119038","","","/mutual-fund/holding-history/424603/65394/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","95504610","91913000","0.77","3018","185","6.53","/mutual-fund/holding-history/424603/18/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","89041051.8","91732000","0.76","256307","","","/mutual-fund/holding-history/424603/105/"
"H.G. Infra Engineering Ltd Ordinary Shares","HGINFRA","541019","Industrials","84736460","90715000","0.76","81010","9437","13.19","/mutual-fund/holding-history/424603/78664/"
"NLC India Ltd","NLCINDIA","513683","Utilities","86347312.15","90523000","0.75","374495","48440","14.86","/mutual-fund/holding-history/424603/935/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","87863685","88658000","0.74","2301","","","/mutual-fund/holding-history/424603/569/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","83505870","84309000","0.7","33900","33900","New","/mutual-fund/holding-history/424603/153/"
"National Aluminium Co Ltd","NATIONALUM","532234","Basic Materials","81683422.5","78385000","0.65","434625","","","/mutual-fund/holding-history/424603/911/"
"Protean eGov Technologies Ltd","","544021","Technology","55717256.7","56811000","0.47","59129","","","/mutual-fund/holding-history/424603/1776577/"
"Sterling and Wilson Renewable Energy Ltd","SWSOLAR","542760","Technology","58583804.85","51708000","0.43","183103","","","/mutual-fund/holding-history/424603/155630/"
"Mahindra &Mah Fin","","","","","4417000","0.04","66780","66780","New",""
