"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","523144656.6","534122000","0.49","481451","481451","New","/mutual-fund/holding-history/9311/4826/"
"Astral Ltd","ASTRAL","532830","Industrials","521228125","532465000","0.48","353375","","","/mutual-fund/holding-history/9311/122/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","502573275","499875000","0.45","24985","","","/mutual-fund/holding-history/9311/202203/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","559184783.9","495983000","0.45","202831","-95411","-31.99","/mutual-fund/holding-history/9311/153/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","461789899","486704000","0.44","79853","","","/mutual-fund/holding-history/9311/1124672/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","441874322.4","479801000","0.44","366792","","","/mutual-fund/holding-history/9311/184/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","405948849.6","426620000","0.39","316554","","","/mutual-fund/holding-history/9311/1253626/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","441478700.6","409297000","0.37","250243","","","/mutual-fund/holding-history/9311/209/"
"Alembic Pharmaceuticals Ltd","APLLTD","533573","Healthcare","342917097.6","350576000","0.32","337384","-183527","-35.23","/mutual-fund/holding-history/9311/92/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","317201354.4","305517000","0.28","129396","129396","New","/mutual-fund/holding-history/9311/67/"
"Concord Biotech Ltd","CONCORDBIO","543960","Healthcare","281930017.5","273760000","0.25","148815","","","/mutual-fund/holding-history/9311/1587026/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","248522038.7","253618000","0.23","312626","","","/mutual-fund/holding-history/9311/816269/"
