"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","936916675.2","987422000","0.98","297264","","","/mutual-fund/holding-history/9311/387/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","984726600","974682000","0.97","32934","-2316","-6.57","/mutual-fund/holding-history/9311/1226/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","1059667587.2","940423000","0.94","4242064","178990","4.41","/mutual-fund/holding-history/9311/721/"
"SRF Ltd","SRF","503806","Industrials","1019345193","940302000","0.94","328662","-18259","-5.26","/mutual-fund/holding-history/9311/1283/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","948847411.2","912364000","0.91","363376","15370","4.42","/mutual-fund/holding-history/9311/49/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","937198351.1","888669000","0.89","208549","-54973","-20.86","/mutual-fund/holding-history/9311/914/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","866818009.2","867112000","0.86","3673736","","","/mutual-fund/holding-history/9311/114/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","948372621.2","862754000","0.86","494047","23059","4.9","/mutual-fund/holding-history/9311/962/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","851331733.8","858286000","0.86","6885012","318014","4.84","/mutual-fund/holding-history/9311/2839786/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","821277957.5","817486000","0.82","293975","14207","5.08","/mutual-fund/holding-history/9311/1430/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","776309112","749577000","0.75","545544","-283850","-34.22","/mutual-fund/holding-history/9311/1410/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","734659518.6","737314000","0.74","298242","-157284","-34.53","/mutual-fund/holding-history/9311/153/"
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","731440320","704824000","0.7","1212600","67217","5.87","/mutual-fund/holding-history/9311/1418/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","703240675.3","694318000","0.69","212453","13374","6.72","/mutual-fund/holding-history/9311/297/"
"Mazagon Dock Shipbuilders Ltd","MAZDOCK","543237","Industrials","622575402","683320000","0.68","196458","10863","5.85","/mutual-fund/holding-history/9311/305195/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","672070080","644745000","0.64","451660","","","/mutual-fund/holding-history/9311/913/"
"City Union Bank Ltd","CUB","532210","Financial Services","637622904","643210000","0.64","3286716","204971","6.65","/mutual-fund/holding-history/9311/295/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","616343627.9","641076000","0.64","153049","9932","6.94","/mutual-fund/holding-history/9311/406/"
"Firstsource Solutions Ltd","FSL","532809","Technology","611713433.75","589801000","0.59","1587835","1587835","New","/mutual-fund/holding-history/9311/428/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","575930328","564685000","0.56","1469960","","","/mutual-fund/holding-history/9311/629/"
"Jindal Stainless Ltd","JSL","532508","Basic Materials","594475239.75","541329000","0.54","839595","839595","New","/mutual-fund/holding-history/9311/696/"
"Alembic Pharmaceuticals Ltd","APLLTD","533573","Healthcare","506325492","530313000","0.53","520911","","","/mutual-fund/holding-history/9311/92/"
"Astral Ltd","ASTRAL","532830","Industrials","545292962.5","529391000","0.53","353375","26103","7.98","/mutual-fund/holding-history/9311/122/"
"Sumitomo Chemical India Ltd Ordinary Shares","SUMICHEM","542920","Basic Materials","500983003.95","513238000","0.51","1012803","78043","8.35","/mutual-fund/holding-history/9311/182906/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","439511135","482161000","0.48","24985","","","/mutual-fund/holding-history/9311/202203/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","435198850","477521000","0.48","79853","6642","9.07","/mutual-fund/holding-history/9311/1124672/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","544769955.8","463992000","0.46","465178","38838","9.11","/mutual-fund/holding-history/9311/166089/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","485779324.8","455152000","0.45","366792","","","/mutual-fund/holding-history/9311/184/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","416679619.3","383447000","0.38","250243","","","/mutual-fund/holding-history/9311/209/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","375479577","361675000","0.36","286407","","","/mutual-fund/holding-history/9311/1500/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","387303819","341467000","0.34","316554","316554","New","/mutual-fund/holding-history/9311/1253626/"
"Concord Biotech Ltd","CONCORDBIO","543960","Healthcare","313300219.5","260203000","0.26","148815","-148831","-50","/mutual-fund/holding-history/9311/1587026/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","246177343.7","249257000","0.25","312626","","","/mutual-fund/holding-history/9311/816269/"
