"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","223260000","214125000","1","150000","","","/mutual-fund/holding-history/11108/913/"
"Oil India Ltd","OIL","533106","Energy","240425000","213400000","1","500000","","","/mutual-fund/holding-history/11108/965/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","205250000","211713000","0.99","250000","-74000","-22.84","/mutual-fund/holding-history/11108/685/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","209737500","208560000","0.98","75000","-5000","-6.25","/mutual-fund/holding-history/11108/1430/"
"3M India Ltd","3MINDIA","523395","Industrials","204015000","204925000","0.96","7000","","","/mutual-fund/holding-history/11108/10/"
"Petronet LNG Ltd","PETRONET","532522","Energy","195390000","199745000","0.93","650000","","","/mutual-fund/holding-history/11108/1025/"
"Inventurus Knowledge Solutions Ltd","IKS","544309","Healthcare","218668540","190305000","0.89","126398","","","/mutual-fund/holding-history/11108/2842042/"
"India Cements Ltd","INDIACEM","530005","Basic Materials","201630000","190290000","0.89","600000","350000","140","/mutual-fund/holding-history/11108/607/"
"JTEKT India Ltd","JTEKTINDIA","520057","Consumer Cyclical","191690192.6","186474000","0.87","1344251","","","/mutual-fund/holding-history/11108/1266/"
"MRF Ltd","MRF","500290","Consumer Cyclical","170181250","173581000","0.81","1250","1250","New","/mutual-fund/holding-history/11108/883/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","169852500","173216000","0.81","225000","-275000","-55","/mutual-fund/holding-history/11108/606/"
"Ola Electric Mobility Ltd","OLAELEC","544225","Consumer Cyclical","149568000","163072000","0.76","3200000","","","/mutual-fund/holding-history/11108/2484734/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","136700000","130550000","0.61","500000","-650000","-56.52","/mutual-fund/holding-history/11108/808/"
"Bharat Dynamics Ltd Ordinary Shares","BDL","541143","Industrials","94400000","100775000","0.47","50000","-110000","-68.75","/mutual-fund/holding-history/11108/80210/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","100450000","99365000","0.47","35000","-30400","-46.48","/mutual-fund/holding-history/11108/1114/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","77345400","73828000","0.35","132000","","","/mutual-fund/holding-history/11108/77534/"
"Mahindra &Mah Fin","","","","","4755000","0.02","71875","71875","New",""
