"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Coforge Ltd","COFORGE","532541","Technology","6586200000","30781800000","10.13","3600000","","","/mutual-fund/holding-history/18899/942/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","31599750000","29599500000","9.74","5250000","","","/mutual-fund/holding-history/18899/1023/"
"Kalyan Jewellers India Ltd","KALYANKJIL","543278","Consumer Cyclical","22673641837.5","24371936000","8.02","43490250","","","/mutual-fund/holding-history/18899/447071/"
"Polycab India Ltd","POLYCAB","542652","Industrials","15267500000","14977500000","4.93","2500000","","","/mutual-fund/holding-history/18899/139599/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","11934675000","12357225000","4.06","6750000","250000","3.85","/mutual-fund/holding-history/18899/2170198/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","11954217600","12270758000","4.04","835200","100000","13.6","/mutual-fund/holding-history/18899/60393/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","12172270323","12095115000","3.98","2143194","7450","0.35","/mutual-fund/holding-history/18899/1412/"
"One97 Communications Ltd","PAYTM","543396","Technology","11318529162.9","11487530000","3.78","12900814","512314","4.14","/mutual-fund/holding-history/18899/712312/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","12429799294.8","11217525000","3.69","9969361","","","/mutual-fund/holding-history/18899/276825/"
"KEI Industries Ltd","KEI","517569","Industrials","10134300000","9928050000","3.27","2750000","50000","1.85","/mutual-fund/holding-history/18899/729/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","6156150000","6754300000","2.22","350000","","","/mutual-fund/holding-history/18899/202203/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","7023292452","6683569000","2.2","4995940","","","/mutual-fund/holding-history/18899/141324/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","6273300127","6430379000","2.12","2099990","-10","0","/mutual-fund/holding-history/18899/67548/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","5993151100","6111839000","2.01","7939000","-212163","-2.6","/mutual-fund/holding-history/18899/606/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","5921532806","6090334000","2","6418310","","","/mutual-fund/holding-history/18899/677/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","6797200000","5866400000","1.93","4000000","","","/mutual-fund/holding-history/18899/1071/"
"Mazagon Dock Shipbuilders Ltd","MAZDOCK","543237","Industrials","5064960000","5565120000","1.83","1600000","","","/mutual-fund/holding-history/18899/305195/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","3990664003.8","4013392000","1.32","1623409","","","/mutual-fund/holding-history/18899/153/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","2829050000","2689925000","0.88","1750000","","","/mutual-fund/holding-history/18899/1036/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","2951116073.4","2684905000","0.88","647558","","","/mutual-fund/holding-history/18899/1324/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","2177055930","2266802000","0.75","918589","","","/mutual-fund/holding-history/18899/1436676/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","2077799936","1997447000","0.66","1581760","","","/mutual-fund/holding-history/18899/1500/"
"Indraprastha Gas Ltd","IGL","532514","Utilities","752773549","732672000","0.24","3545300","-1523405","-30.06","/mutual-fund/holding-history/18899/596/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","294150000","286650000","0.09","1000000","","","/mutual-fund/holding-history/18899/1564869/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","100860000","95324000","0.03","400000","400000","New","/mutual-fund/holding-history/18899/589490/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","68748705","69202000","0.02","100775","","","/mutual-fund/holding-history/18899/293/"
