"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"BSE Ltd","BSE","","Financial Services","14026480000","13904800000","3.77","5200000","-483500","-8.51","/mutual-fund/holding-history/6337/52884/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","10648126500","9956177000","2.7","5335000","","","/mutual-fund/holding-history/6337/1424/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","10139183544.9","9363019000","2.54","13256434","","","/mutual-fund/holding-history/6337/424/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","9896632408","9270180000","2.52","1644232","","","/mutual-fund/holding-history/6337/1023/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","8131000000","8119000000","2.2","20000000","","","/mutual-fund/holding-history/6337/1026/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","8224400000","8082400000","2.19","40000000","","","/mutual-fund/holding-history/6337/412/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","9006367540","7987540000","2.17","11525200","","","/mutual-fund/holding-history/6337/54902/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","8042700000","7663770000","2.08","5100000","","","/mutual-fund/holding-history/6337/845/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","7750240000","7450520000","2.02","5900000","","","/mutual-fund/holding-history/6337/1500/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","7854840000","7088760000","1.92","6300000","","","/mutual-fund/holding-history/6337/276825/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","7038900000","6914700000","1.88","18000000","","","/mutual-fund/holding-history/6337/629/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","7194799651.2","6755468000","1.83","5444007","","","/mutual-fund/holding-history/6337/184/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","6440850000","6611400000","1.79","450000","","","/mutual-fund/holding-history/6337/60393/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","6111406555.52","6118406000","1.66","25922152","","","/mutual-fund/holding-history/6337/114/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","5653105828.35","5686560000","1.54","11947809","","","/mutual-fund/holding-history/6337/4813/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","6333382862.2","5466097000","1.48","3727054","","","/mutual-fund/holding-history/6337/1071/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","5558700000","5435100000","1.48","3000000","","","/mutual-fund/holding-history/6337/91/"
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","5568496510.5","5066180000","1.38","1221885","","","/mutual-fund/holding-history/6337/1324/"
"Lupin Ltd","LUPIN","500257","Healthcare","5132584963.8","4996798000","1.36","2552382","","","/mutual-fund/holding-history/6337/804/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","5057235133.4","4877019000","1.32","2600522","","","/mutual-fund/holding-history/6337/61147/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","4985832859","4820925000","1.31","3508679","","","/mutual-fund/holding-history/6337/1410/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","4991602428","4787364000","1.3","3353670","","","/mutual-fund/holding-history/6337/913/"
"NTPC Ltd","NTPC","532555","Utilities","4671800000","4674600000","1.27","14000000","","","/mutual-fund/holding-history/6337/959/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","4529400000","4619100000","1.25","6000000","","","/mutual-fund/holding-history/6337/606/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","4790850000","4527890000","1.23","19000000","","","/mutual-fund/holding-history/6337/589490/"
"One97 Communications Ltd","PAYTM","543396","Technology","4413001189.35","4478893000","1.22","5029921","","","/mutual-fund/holding-history/6337/712312/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","4380480000","4452480000","1.21","96000","","","/mutual-fund/holding-history/6337/994/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","4958240000","4448080000","1.21","2800000","","","/mutual-fund/holding-history/6337/338662/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","4223750000","4416880000","1.2","3100000","","","/mutual-fund/holding-history/6337/642/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","4206453404","4405629000","1.2","864103","","","/mutual-fund/holding-history/6337/1878/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","4640085000","4392185000","1.19","6700000","","","/mutual-fund/holding-history/6337/701/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","4300434005","4391361000","1.19","16900900","","","/mutual-fund/holding-history/6337/189/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","4259889800","4366555000","1.19","1426000","","","/mutual-fund/holding-history/6337/67548/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","4356861484.8","4350231000","1.18","34896768","","","/mutual-fund/holding-history/6337/2839786/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","4529643246","4314302000","1.17","2335590","","","/mutual-fund/holding-history/6337/2710663/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","4390708000","4281074000","1.16","1910000","","","/mutual-fund/holding-history/6337/67/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","4299880000","4248530000","1.15","1300000","","","/mutual-fund/holding-history/6337/297/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","4055932150.5","4201395000","1.14","1384041","","","/mutual-fund/holding-history/6337/300864/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","4135860000","4134240000","1.12","27000000","","","/mutual-fund/holding-history/6337/878/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","4164370000","4052440000","1.1","2050000","","","/mutual-fund/holding-history/6337/1437/"
"REC Ltd","RECLTD","532955","Financial Services","4015000000","4023000000","1.09","10000000","","","/mutual-fund/holding-history/6337/1119/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","3975650000","3950450000","1.07","700000","","","/mutual-fund/holding-history/6337/1412/"
"NLC India Ltd","NLCINDIA","513683","Utilities","3718370456.45","3890760000","1.06","16096145","","","/mutual-fund/holding-history/6337/935/"
"Bharat Electronics Ltd","BEL","500049","Industrials","4038500000","3846000000","1.04","10000000","","","/mutual-fund/holding-history/6337/175/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","3772260000","3629520000","0.99","1800000","","","/mutual-fund/holding-history/6337/120412/"
"Sundaram Finance Ltd","SUNDARMFIN","590071","Financial Services","3460498510","3559954000","0.97","693070","","","/mutual-fund/holding-history/6337/1311/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","3480314931","3503272000","0.95","5101605","","","/mutual-fund/holding-history/6337/293/"
"Gujarat Gas Ltd","GUJGASLTD","539336","Utilities","3621195429.3","3483025000","0.95","7570971","","","/mutual-fund/holding-history/6337/515/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","3334015860","3475658000","0.94","829770","","","/mutual-fund/holding-history/6337/406/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","3610008414.8","3473969000","0.94","726316","","","/mutual-fund/holding-history/6337/94155/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","3277680000","3414768000","0.93","16800000","","","/mutual-fund/holding-history/6337/705188/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","3202313012","3285240000","0.89","4188220","","","/mutual-fund/holding-history/6337/279/"
"Union Bank of India","UNIONBANK","532477","Financial Services","3233340000","3229380000","0.88","22000000","-1000000","-4.35","/mutual-fund/holding-history/6337/1447/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","3229500000","3198000000","0.87","600000","","","/mutual-fund/holding-history/6337/1784/"
"Endurance Technologies Ltd","ENDURANCE","540153","Consumer Cyclical","3196830000","3161340000","0.86","1300000","","","/mutual-fund/holding-history/6337/4797/"
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","2958150000","2967696000","0.81","222000","","","/mutual-fund/holding-history/6337/1508/"
"Astral Ltd","ASTRAL","532830","Industrials","2954638822.5","2851108000","0.77","1903149","","","/mutual-fund/holding-history/6337/122/"
"Mphasis Ltd","MPHASIS","526299","Technology","2978140000","2814680000","0.76","1100000","","","/mutual-fund/holding-history/6337/881/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","2751936871.93","2782822000","0.76","16604941","","","/mutual-fund/holding-history/6337/616664/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","2743498614","2772074000","0.75","1210830","","","/mutual-fund/holding-history/6337/284/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","2785035000","2735755000","0.74","550000","","","/mutual-fund/holding-history/6337/80502/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","2704020000","2719420000","0.74","1100000","","","/mutual-fund/holding-history/6337/153/"
"Indian Bank","INDIANB","532814","Financial Services","2676321000","2608218000","0.71","4230000","","","/mutual-fund/holding-history/6337/609/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","2467678629.95","2565674000","0.7","6241757","","","/mutual-fund/holding-history/6337/556/"
"Bata India Ltd","BATAINDIA","500043","Consumer Cyclical","2311920000","2401220000","0.65","1900000","","","/mutual-fund/holding-history/6337/168/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","2326718480.6","2222042000","0.6","8510309","","","/mutual-fund/holding-history/6337/808/"
"Prudent Corporate Advisory Services Ltd","PRUDENT","543527","Financial Services","2090229358.5","2199900000","0.6","745047","","","/mutual-fund/holding-history/6337/888523/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","2196815500","2149747000","0.58","605000","","","/mutual-fund/holding-history/6337/169265/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","2091900000","2117400000","0.57","6000000","","","/mutual-fund/holding-history/6337/2020/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","1972624650.7","2025604000","0.55","18206042","50078","0.28","/mutual-fund/holding-history/6337/2789016/"
"Timken India Ltd","TIMKEN","522113","Industrials","2100768512.6","2019338000","0.55","646271","","","/mutual-fund/holding-history/6337/1399/"
"GlaxoSmithKline Pharmaceuticals Ltd","GLAXO","500660","Healthcare","1882041200","1843917000","0.5","559000","","","/mutual-fund/holding-history/6337/463/"
"Bank of India","BANKINDIA","532149","Financial Services","1762475000","1768130000","0.48","14500000","","","/mutual-fund/holding-history/6337/163/"
"3M India Ltd","3MINDIA","523395","Industrials","1748700000","1756500000","0.48","60000","","","/mutual-fund/holding-history/6337/10/"
"Sanofi Consumer Healthcare India Ltd","SANOFICONR","544250","Healthcare","1678970385","1739592000","0.47","330181","","","/mutual-fund/holding-history/6337/2638456/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","1669771268","1723432000","0.47","303512","","","/mutual-fund/holding-history/6337/169/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","1808316895","1662829000","0.45","302470","","","/mutual-fund/holding-history/6337/683/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","1572360986.7","1661306000","0.45","1675041","","","/mutual-fund/holding-history/6337/238/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","1564208201.8","1639934000","0.45","1597598","","","/mutual-fund/holding-history/6337/1313/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","1494555083","1625276000","0.44","2987915","","","/mutual-fund/holding-history/6337/547977/"
"NMDC Ltd","NMDC","526371","Basic Materials","1588313407.23","1603181000","0.44","22526073","","","/mutual-fund/holding-history/6337/949/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1606842363.5","1555441000","0.42","614119","","","/mutual-fund/holding-history/6337/1090/"
"Indraprastha Gas Ltd","IGL","532514","Utilities","1466038854.9","1426890000","0.39","6904530","","","/mutual-fund/holding-history/6337/596/"
"Sanofi India Ltd","SANOFI","500674","Healthcare","1389281899","1404248000","0.38","226766","","","/mutual-fund/holding-history/6337/1182/"
"Restaurant Brands Asia Ltd Ordinary Shares","RBA","543248","Consumer Cyclical","1174372654.65","1226101000","0.33","15081195","","","/mutual-fund/holding-history/6337/357598/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","1133165935.2","1203766000","0.33","593778","","","/mutual-fund/holding-history/6337/318/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","1295274850.2","1195155000","0.32","3588516","3588516","New","/mutual-fund/holding-history/6337/2755533/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","1009195000","988958000","0.27","590000","","","/mutual-fund/holding-history/6337/1357/"
"MTAR Technologies Ltd","MTARTECH","543270","Industrials","959266501.6","931120000","0.25","567479","","","/mutual-fund/holding-history/6337/436155/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","730941645.3","756687000","0.21","1705019","","","/mutual-fund/holding-history/6337/747240/"
"Apar Industries Ltd","APARINDS","532259","Industrials","673477798","706340000","0.19","87052","","","/mutual-fund/holding-history/6337/88/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","657390093.75","653948000","0.18","800475","","","/mutual-fund/holding-history/6337/625/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","646623697.5","572271000","0.16","329725","","","/mutual-fund/holding-history/6337/154217/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","546785993.6","528393000","0.14","210448","","","/mutual-fund/holding-history/6337/49/"
"Mahindra &Mah Fin","","","","","70370000","0.02","1063788","1063788","New",""
