"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Netweb Technologies India Ltd","NETWEB","543945","Technology","114745931.6","84249000","0.75","59692","2974","5.24","/mutual-fund/holding-history/424603/1544933/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","90810694.3","83923000","0.75","137197","-59787","-30.35","/mutual-fund/holding-history/424603/1288/"
"Engineers India Ltd","ENGINERSIN","532178","Industrials","92012470.55","80559000","0.72","450931","","","/mutual-fund/holding-history/424603/380/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","87438000","79431000","0.71","2301","67","3","/mutual-fund/holding-history/424603/569/"
"Astral Ltd","ASTRAL","532830","Industrials","90024956","79280000","0.71","58940","","","/mutual-fund/holding-history/424603/122/"
"Timken India Ltd","TIMKEN","522113","Industrials","99178555.2","77813000","0.69","31728","","","/mutual-fund/holding-history/424603/1399/"
"Protean eGov Technologies Ltd","","544021","Technology","56320372.5","77489000","0.69","59129","9351","18.79","/mutual-fund/holding-history/424603/1776577/"
"H.G. Infra Engineering Ltd Ordinary Shares","HGINFRA","541019","Industrials","79617805.2","76869000","0.69","71573","","","/mutual-fund/holding-history/424603/78664/"
"NLC India Ltd","NLCINDIA","513683","Utilities","77741293.65","74204000","0.66","326055","","","/mutual-fund/holding-history/424603/935/"
"National Aluminium Co Ltd","NATIONALUM","532234","Basic Materials","79080018.75","68006000","0.61","434625","29112","7.18","/mutual-fund/holding-history/424603/911/"
"Sterling and Wilson Renewable Energy Ltd","SWSOLAR","542760","Technology","51937165.95","49694000","0.44","183103","","","/mutual-fund/holding-history/424603/155630/"
