"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","1016738349.9","1062027888","0.9","392457","-431","-0.11","/mutual-fund/holding-history/6421/49/"
"Bharat Electronics Ltd","BEL","500049","Industrials","1297930850","1057810275","0.9","3367750","","","/mutual-fund/holding-history/6421/175/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","1068806793.6","1028778894","0.87","475956","","","/mutual-fund/holding-history/6421/478/"
"SKF India Ltd","SKFINDIA","500472","Industrials","1195204134.4","1012426906","0.86","260552","","","/mutual-fund/holding-history/6421/1251/"
"ITC Hotels Ltd","ITCHOTELS","544325","Consumer Cyclical","1108039625.5","1009778038","0.86","5193530","","","/mutual-fund/holding-history/6421/2956218/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","1046203674.9","999137663","0.85","1143767","","","/mutual-fund/holding-history/6421/188792/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","1036836784.5","974119951","0.83","17469870","","","/mutual-fund/holding-history/6421/856676/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","897239545.43","932091904","0.79","5217419","","","/mutual-fund/holding-history/6421/616664/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","1037503330","925853770","0.79","206300","","","/mutual-fund/holding-history/6421/80502/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","947172622.7","865277430","0.74","943493","","","/mutual-fund/holding-history/6421/1313/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","884840000","845680000","0.72","2200000","","","/mutual-fund/holding-history/6421/1364/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","929896390","814974890","0.69","1209700","600000","98.41","/mutual-fund/holding-history/6421/279/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","777500000","742750000","0.63","25000","","","/mutual-fund/holding-history/6421/1226/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","913929250","720027500","0.61","895000","","","/mutual-fund/holding-history/6421/709/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","753313287","666283621","0.57","745117","","","/mutual-fund/holding-history/6421/864/"
"IDFC First Bank Ltd","IDFCFIRSTB","539437","Financial Services","681200000","648900000","0.55","10000000","10000000","New","/mutual-fund/holding-history/6421/1786/"
"Lupin Ltd","LUPIN","500257","Healthcare","591060000","628680000","0.53","300000","","","/mutual-fund/holding-history/6421/804/"
"Timken India Ltd","TIMKEN","522113","Industrials","781475000","613125000","0.52","250000","","","/mutual-fund/holding-history/6421/1399/"
"Laurus Labs Ltd","LAURUSLABS","540222","Healthcare","585165044.4","587158378","0.5","972358","-245823","-20.18","/mutual-fund/holding-history/6421/4984/"
"Apollo Tyres Ltd","APOLLOTYRE","500877","Consumer Cyclical","594000000","566280000","0.48","1200000","1200000","New","/mutual-fund/holding-history/6421/94/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","576441784.8","526384730","0.45","1496474","","","/mutual-fund/holding-history/6421/404/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","610454518.9","523910111","0.45","748978","","","/mutual-fund/holding-history/6421/2974675/"
"Indraprastha Gas Ltd","IGL","532514","Utilities","544036088.24","507807446","0.43","2636728","","","/mutual-fund/holding-history/6421/596/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","602580000","462460000","0.39","200000","","","/mutual-fund/holding-history/6421/300864/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","483581232","457442749","0.39","3860928","","","/mutual-fund/holding-history/6421/2839786/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","322542434.24","309804891","0.26","1420016","-861236","-37.75","/mutual-fund/holding-history/6421/721/"
"Praj Industries Ltd","PRAJIND","522205","Industrials","94490595.45","88983386","0.08","192897","-557103","-74.28","/mutual-fund/holding-history/6421/1061/"
"UPL Ltd Ordinary Shares (Partly Paid Rs.1)","UPLPP1","890209","Basic Materials","51931250","56531250","0.05","125000","","","/mutual-fund/holding-history/6421/2889731/"
