"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","6957129682.5","5865981000","0.78","1657525","","","/mutual-fund/holding-history/8750/1324/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","5870417903.4","5834775000","0.78","4628937","","","/mutual-fund/holding-history/8750/476/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","5567076399.6","5397633000","0.72","1386604","","","/mutual-fund/holding-history/8750/169265/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","5812370792.8","5368890000","0.72","1647404","215328","15.04","/mutual-fund/holding-history/8750/387/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","5553663820.5","5095058000","0.68","2301083","686952","42.56","/mutual-fund/holding-history/8750/284/"
"KNR Constructions Ltd","KNRCON","532942","Industrials","5080904188.8","5014641000","0.67","22928268","","","/mutual-fund/holding-history/8750/752/"
"Timken India Ltd","TIMKEN","522113","Industrials","6226809908","4888365000","0.65","1993217","70209","3.65","/mutual-fund/holding-history/8750/1399/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","4370076665","4634952000","0.62","7419485","","","/mutual-fund/holding-history/8750/374/"
"City Union Bank Ltd","CUB","532210","Financial Services","5033246400","4599741000","0.61","26052000","","","/mutual-fund/holding-history/8750/295/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","5077646553","4567127000","0.61","3060667","-599696","-16.38","/mutual-fund/holding-history/8750/262/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","4642400000","4392800000","0.59","4000000","-7135777","-64.08","/mutual-fund/holding-history/8750/276825/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","4279678876","4221478000","0.56","2264620","","","/mutual-fund/holding-history/8750/1424/"
"Ceat Ltd","CEATLTD","500878","Consumer Cyclical","4725224460.5","4214817000","0.56","1264951","98085","8.41","/mutual-fund/holding-history/8750/244/"
"Symphony Ltd","SYMPHONY","517385","Consumer Cyclical","4431319667.5","4155465000","0.55","3601235","","","/mutual-fund/holding-history/8750/1341/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","4012670797.1","4093819000","0.55","2617699","","","/mutual-fund/holding-history/8750/851/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","4283458900","3782320000","0.5","7861000","","","/mutual-fund/holding-history/8750/547977/"
"Vesuvius India Ltd","VESUVIUS","520113","Industrials","4174611449.4","3418577000","0.46","736302","","","/mutual-fund/holding-history/8750/1475/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","3306545872.8","3402679000","0.45","1315096","191616","17.06","/mutual-fund/holding-history/8750/276/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","3760939475","3340986000","0.45","7931125","","","/mutual-fund/holding-history/8750/14/"
"Greenlam Industries Ltd","GREENLAM","538979","Consumer Cyclical","4268888143","3315476000","0.44","16018342","","","/mutual-fund/holding-history/8750/1565/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","3562673151.75","3304066000","0.44","7274473","-64825","-0.88","/mutual-fund/holding-history/8750/1504/"
"Oracle Financial Services Software Ltd","OFSS","532466","Technology","2869278104","2970962000","0.4","340648","","","/mutual-fund/holding-history/8750/964/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","2953799657.1","2965620000","0.4","8151786","","","/mutual-fund/holding-history/8750/105/"
"Five-Star Business Finance Ltd","FIVESTAR","543663","Financial Services","2725563363.6","2724598000","0.36","3859478","","","/mutual-fund/holding-history/8750/1114733/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","2474400000","2444400000","0.33","6000000","","","/mutual-fund/holding-history/8750/1026/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2362091955","2306382000","0.31","1365450","","","/mutual-fund/holding-history/8750/2170198/"
"Navneet Education Ltd","NAVNETEDUL","508989","Communication Services","2242501946.8","2240614000","0.3","15731336","","","/mutual-fund/holding-history/8750/915/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","1915529710.5","1950031000","0.26","1039185","","","/mutual-fund/holding-history/8750/61147/"
"Greenply Industries Ltd","GREENPLY","526797","Basic Materials","1704950961.3","1574051000","0.21","5420286","","","/mutual-fund/holding-history/8750/494/"
"Dabur India Ltd","DABUR","500096","Consumer Defensive","1461776193.9","1470974000","0.2","3015837","","","/mutual-fund/holding-history/8750/303/"
"Dhanuka Agritech Ltd","DHANUKA","507717","Basic Materials","1751328326.8","1357899000","0.18","1041094","","","/mutual-fund/holding-history/8750/327/"
"Greenpanel Industries Ltd Ordinary Shares","GREENPANEL","542857","Basic Materials","1355873924.9","1198732000","0.16","5158945","","","/mutual-fund/holding-history/8750/170350/"
"Mahindra Holidays & Resorts India Ltd","MHRIL","533088","Consumer Cyclical","1112851097.25","930245000","0.12","2993547","","","/mutual-fund/holding-history/8750/860/"
"Jagran Prakashan Ltd","JAGRAN","532705","Communication Services","784485264.51","714041000","0.1","9797493","-233033","-2.32","/mutual-fund/holding-history/8750/654/"
"Delta Corp Ltd","DELTACORP","532848","Consumer Cyclical","475599867.2","484923000","0.06","5237884","","","/mutual-fund/holding-history/8750/320/"
"VST Industries Ltd","VSTIND","509966","Consumer Defensive","441559777.6","447650000","0.06","1541759","","","/mutual-fund/holding-history/8750/1502/"
