"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Concord Biotech Ltd","CONCORDBIO","543960","Healthcare","455011440.2","452005000","0.49","297646","-2000","-0.67","/mutual-fund/holding-history/9311/1587026/"
"Astral Ltd","ASTRAL","532830","Industrials","499384344.8","440214000","0.48","327272","","","/mutual-fund/holding-history/9311/122/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","388252014.5","426990000","0.46","250243","250243","New","/mutual-fund/holding-history/9311/209/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","437399119.5","420758000","0.46","73211","5489","8.11","/mutual-fund/holding-history/9311/1124672/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","430070475","420393000","0.45","426340","","","/mutual-fund/holding-history/9311/166089/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","458856792","405012000","0.44","366792","","","/mutual-fund/holding-history/9311/184/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","401650814.7","397456000","0.43","975591","","","/mutual-fund/holding-history/9311/1026/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","432665245","363007000","0.39","24985","","","/mutual-fund/holding-history/9311/202203/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","361359711.9","354028000","0.38","286407","-361094","-55.77","/mutual-fund/holding-history/9311/1500/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","238236643.3","244458000","0.26","312626","","","/mutual-fund/holding-history/9311/816269/"
