"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","1598553950","1546438000","0.45","302470","","","/mutual-fund/holding-history/6337/683/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1503056252.5","1508092000","0.43","614119","","","/mutual-fund/holding-history/6337/1090/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","1603828632.2","1465157000","0.42","1597598","","","/mutual-fund/holding-history/6337/1313/"
"NMDC Ltd","NMDC","526371","Basic Materials","1638546550.02","1459464000","0.42","22526073","","","/mutual-fund/holding-history/6337/949/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","1628264279.25","1437635000","0.41","2987915","","","/mutual-fund/holding-history/6337/547977/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","1722127088","1423593000","0.41","303512","","","/mutual-fund/holding-history/6337/169/"
"Sanofi India Ltd","SANOFI","500674","Healthcare","1407423179","1347670000","0.39","226766","","","/mutual-fund/holding-history/6337/1182/"
"Indraprastha Gas Ltd","IGL","532514","Utilities","1424611674.9","1329743000","0.38","6904530","","","/mutual-fund/holding-history/6337/596/"
"Restaurant Brands Asia Ltd Ordinary Shares","RBA","543248","Consumer Cyclical","1229117392.5","1221878000","0.35","15081195","","","/mutual-fund/holding-history/6337/357598/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","1210000808.4","1149317000","0.33","593778","","","/mutual-fund/holding-history/6337/318/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","995625000","938926000","0.27","590000","","","/mutual-fund/holding-history/6337/1357/"
"MTAR Technologies Ltd","MTARTECH","543270","Industrials","935999862.6","806558000","0.23","567479","","","/mutual-fund/holding-history/6337/436155/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","804854218.95","739637000","0.21","1705019","","","/mutual-fund/holding-history/6337/747240/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","656949832.5","671118000","0.19","800475","800475","New","/mutual-fund/holding-history/6337/625/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","545207633.6","569493000","0.16","210448","","","/mutual-fund/holding-history/6337/49/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","553080715","522284000","0.15","329725","","","/mutual-fund/holding-history/6337/154217/"
"Apar Industries Ltd","APARINDS","532259","Industrials","665599592","487752000","0.14","87052","","","/mutual-fund/holding-history/6337/88/"
