"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Lupin Ltd","LUPIN","500257","Healthcare","5061932227.8","5272783000","3.42","2516121","295023","13.28","/mutual-fund/holding-history/156995/804/"
"Mphasis Ltd","MPHASIS","526299","Technology","4673843311.5","4266543000","2.77","1728045","143111","9.03","/mutual-fund/holding-history/156995/881/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","4370841395.2","4197544000","2.72","21341999","-3032726","-12.44","/mutual-fund/holding-history/156995/412/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","4217144555.6","3924198000","2.55","2465878","268905","12.24","/mutual-fund/holding-history/156995/1357/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","4399172477.7","3598847000","2.33","2617153","165928","6.77","/mutual-fund/holding-history/156995/1071/"
"L&T Finance Ltd","LTF","533519","Financial Services","4184706467.9","3589734000","2.33","21865955","756828","3.59","/mutual-fund/holding-history/156995/777/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","4290505768.4","3581476000","2.32","3243503","605349","22.95","/mutual-fund/holding-history/156995/184/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","4260610816","3575473000","2.32","11701760","","","/mutual-fund/holding-history/156995/888524/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","3713412640","3443459000","2.23","1772512","522601","41.81","/mutual-fund/holding-history/156995/120412/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","3479779093.6","3388560000","2.2","2859544","-250000","-8.04","/mutual-fund/holding-history/156995/140/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","3378590617.92","3349468000","2.17","17232432","","","/mutual-fund/holding-history/156995/705188/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","3021073355.2","2854570000","1.85","2309336","","","/mutual-fund/holding-history/156995/1500/"
"One97 Communications Ltd","PAYTM","543396","Technology","2905840957","2850787000","1.85","3296660","-1192632","-26.57","/mutual-fund/holding-history/156995/712312/"
