"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Campus Activewear Ltd","CAMPUS","543523","Consumer Cyclical","1162582904.4","1125730000","0.66","4027656","","","/mutual-fund/holding-history/156995/877863/"
"Indian Bank","INDIANB","532814","Financial Services","1084892526.9","1111760000","0.65","1727811","-2154698","-55.5","/mutual-fund/holding-history/156995/609/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","1002822211.6","1036818000","0.6","510446","43630","9.35","/mutual-fund/holding-history/156995/1955/"
"Prince Pipes And Fittings Ltd Ordinary Shares","PRINCEPIPE","542907","Industrials","751335257.2","798830000","0.46","2173688","","","/mutual-fund/holding-history/156995/177142/"
"BSE Ltd","BSE","","Financial Services","689342200","749312000","0.44","270500","","","/mutual-fund/holding-history/156995/52884/"
"NRB Bearings Ltd","NRBBEARING","530367","Consumer Cyclical","499341193.75","492583000","0.29","1628375","-259129","-13.73","/mutual-fund/holding-history/156995/956/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","494268519.36","466221000","0.27","3479784","-3898986","-52.84","/mutual-fund/holding-history/156995/2839786/"
"Ola Electric Mobility Ltd","OLAELEC","544225","Consumer Cyclical","401407964.1","431286000","0.25","9992730","4199342","72.49","/mutual-fund/holding-history/156995/2484734/"
"General Insurance Corp of India","GICRE","540755","Financial Services","333693758.6","334868000","0.19","869447","-1730940","-66.56","/mutual-fund/holding-history/156995/63527/"
"Laurus Labs Ltd","LAURUSLABS","540222","Healthcare","161885430.3","142519000","0.08","196618","196618","New","/mutual-fund/holding-history/156995/4984/"
