"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"KPIT Technologies Ltd","KPITTECH","542651","Technology","1065254907.2","1004214000","0.95","801064","","","/mutual-fund/holding-history/17663/141324/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","196563920","956701000","0.9","135328","","","/mutual-fund/holding-history/17663/913/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","1028513975","947541000","0.89","290746","","","/mutual-fund/holding-history/17663/387/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","932400000","887925000","0.84","750000","","","/mutual-fund/holding-history/17663/346/"
"Sagility India Ltd","SAGILITY","544282","Healthcare","869311408.64","876570000","0.83","21348512","","","/mutual-fund/holding-history/17663/2757688/"
"KEI Industries Ltd","KEI","517569","Industrials","1006213801.6","872378000","0.82","284756","","","/mutual-fund/holding-history/17663/729/"
"Polycab India Ltd","POLYCAB","542652","Industrials","941539950","871884000","0.82","157950","","","/mutual-fund/holding-history/17663/139599/"
"Timken India Ltd","TIMKEN","522113","Industrials","1090795308.6","855810000","0.81","348954","","","/mutual-fund/holding-history/17663/1399/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","869032080","852548000","0.8","689708","","","/mutual-fund/holding-history/17663/1500/"
"Havells India Ltd","HAVELLS","517354","Industrials","837165747","852284000","0.8","532345","","","/mutual-fund/holding-history/17663/525/"
"Metro Brands Ltd","METROBRAND","543426","Consumer Cyclical","907056808.2","810278000","0.76","757269","","","/mutual-fund/holding-history/17663/750564/"
"Sumitomo Chemical India Ltd Ordinary Shares","SUMICHEM","542920","Basic Materials","794199553.6","802722000","0.76","1578298","","","/mutual-fund/holding-history/17663/182906/"
"CRISIL Ltd","CRISIL","500092","Financial Services","899701369.5","774650000","0.73","173973","","","/mutual-fund/holding-history/17663/292/"
"Endurance Technologies Ltd","ENDURANCE","540153","Consumer Cyclical","1000187084.7","765793000","0.72","408423","","","/mutual-fund/holding-history/17663/4797/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","858165841.5","754031000","0.71","465509","","","/mutual-fund/holding-history/17663/91/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","745351505.82","715917000","0.68","3281463","","","/mutual-fund/holding-history/17663/721/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","657347640","680614000","0.64","408900","","","/mutual-fund/holding-history/17663/1036/"
"JSW Infrastructure Ltd","JSWINFRA","543994","Industrials","621829670.3","637460000","0.6","2170814","","","/mutual-fund/holding-history/17663/1698179/"
"Bharat Rasayan Ltd","BHARATRAS","590021","Basic Materials","636313872","606763000","0.57","63964","","","/mutual-fund/holding-history/17663/186/"
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","682981392","586226000","0.55","1127032","","","/mutual-fund/holding-history/17663/1418/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","603730176","580421000","0.55","100992","","","/mutual-fund/holding-history/17663/1124672/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","647387655.85","510036000","0.48","633979","","","/mutual-fund/holding-history/17663/709/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","478980342.5","479201000","0.45","157949","","","/mutual-fund/holding-history/17663/1037/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","444891091.6","435246000","0.41","441404","","","/mutual-fund/holding-history/17663/166089/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","391849309.8","422915000","0.4","158093","","","/mutual-fund/holding-history/17663/153/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","352146324.2","341859000","0.32","338407","","","/mutual-fund/holding-history/17663/4826/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","265225608","242194000","0.23","688540","","","/mutual-fund/holding-history/17663/404/"
