"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","427589228","415262000","0.61","34339","-27746","-44.69","/mutual-fund/holding-history/7923/1443/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","446231040","388511000","0.57","359400","","","/mutual-fund/holding-history/7923/709/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","376303613.4","382987000","0.56","795652","","","/mutual-fund/holding-history/7923/547977/"
"NMDC Ltd","NMDC","526371","Basic Materials","389556000","378000000","0.55","5400000","","","/mutual-fund/holding-history/7923/949/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","362915821.4","351339000","0.51","267361","167361","167.36","/mutual-fund/holding-history/7923/1500/"
"IRB Infrastructure Developers Ltd","IRB","532947","Industrials","337428950.04","346151000","0.51","6977439","","","/mutual-fund/holding-history/7923/644/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","331179543.8","345579000","0.51","181349","","","/mutual-fund/holding-history/7923/962/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","330767266.2","344136000","0.5","311633","","","/mutual-fund/holding-history/7923/864/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","296065000","335615000","0.49","700000","","","/mutual-fund/holding-history/7923/14/"
"Astral Ltd","ASTRAL","532830","Industrials","311975775","318702000","0.47","211509","150000","243.87","/mutual-fund/holding-history/7923/122/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","310522500","311783000","0.46","450000","","","/mutual-fund/holding-history/7923/549/"
"Atul Ltd","ATUL","500027","Basic Materials","278050894","306963000","0.45","41068","","","/mutual-fund/holding-history/7923/129/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","318285036","302839000","0.44","137180","","","/mutual-fund/holding-history/7923/120412/"
"Syngene International Ltd","SYNGENE","539268","Healthcare","279348888","264018000","0.39","413238","","","/mutual-fund/holding-history/7923/1771/"
"Mphasis Ltd","MPHASIS","526299","Technology","228963476.8","234586000","0.34","82444","6359","8.36","/mutual-fund/holding-history/7923/881/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","224076738","221981000","0.33","1091460","","","/mutual-fund/holding-history/7923/1093348/"
"Bandhan Bank Ltd","BANDHANBNK","541153","Financial Services","180940000","189640000","0.28","1000000","","","/mutual-fund/holding-history/7923/79883/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","178539432.5","182321000","0.27","50215","","","/mutual-fund/holding-history/7923/169265/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","171575368.9","179661000","0.26","61301","","","/mutual-fund/holding-history/7923/1114/"
