"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","4511032408.72","4433146289","3.61","21939752","","","/mutual-fund/holding-history/6421/412/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","2779148033.9","2717352525","2.21","1499891","","","/mutual-fund/holding-history/6421/91/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2526065020.9","2615500952","2.13","1428689","","","/mutual-fund/holding-history/6421/2170198/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","2668331310","2542613481","2.07","1692030","","","/mutual-fund/holding-history/6421/845/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","2646915111.5","2433957653","1.98","442739","","","/mutual-fund/holding-history/6421/683/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","2684615994","2422786266","1.97","2153205","","","/mutual-fund/holding-history/6421/276825/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","2773118257.4","2393370939","1.95","1631918","","","/mutual-fund/holding-history/6421/1071/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","2367332895","2378953058","1.94","1223175","","","/mutual-fund/holding-history/6421/533/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","2372759781.6","2344423825","1.91","717366","100000","16.2","/mutual-fund/holding-history/6421/297/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","2236652750","2338923184","1.9","1641580","","","/mutual-fund/holding-history/6421/642/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","2291240402.4","2315105383","1.88","1011228","-200000","-16.51","/mutual-fund/holding-history/6421/284/"
"Mphasis Ltd","MPHASIS","526299","Technology","2439651677","2305747474","1.88","901105","","","/mutual-fund/holding-history/6421/881/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","2482543286.4","2291098205","1.86","1300578","","","/mutual-fund/holding-history/6421/710819/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","2228240279.8","2255402251","1.84","6391052","","","/mutual-fund/holding-history/6421/2020/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","2099474733.2","2230279358","1.82","1100123","","","/mutual-fund/holding-history/6421/318/"
"Coforge Ltd","COFORGE","532541","Technology","444504467.5","2077472233","1.69","242965","","","/mutual-fund/holding-history/6421/942/"
"Kalyan Jewellers India Ltd","KALYANKJIL","543278","Consumer Cyclical","1857623227.7","1996762361","1.63","3563102","","","/mutual-fund/holding-history/6421/447071/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","1908255282.5","1943180645","1.58","3326225","","","/mutual-fund/holding-history/6421/374/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","1826914500","1908087000","1.55","11850000","","","/mutual-fund/holding-history/6421/1366/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","1756755000","1785630000","1.45","38500","","","/mutual-fund/holding-history/6421/994/"
"City Union Bank Ltd","CUB","532210","Financial Services","1749790036.48","1753553411","1.43","8960416","","","/mutual-fund/holding-history/6421/295/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","1830191658.4","1740187800","1.42","1132124","","","/mutual-fund/holding-history/6421/1036/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","1700123878.2","1733793042","1.41","2252118","","","/mutual-fund/holding-history/6421/606/"
"Endurance Technologies Ltd","ENDURANCE","540153","Consumer Cyclical","1721370000","1702260000","1.39","700000","","","/mutual-fund/holding-history/6421/4797/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","1877080101.5","1699385651","1.38","973135","","","/mutual-fund/holding-history/6421/962/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1669415191.5","1658833460","1.35","293937","","","/mutual-fund/holding-history/6421/1412/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","1616209957.1","1656678777","1.35","541027","","","/mutual-fund/holding-history/6421/67548/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","1683049433.8","1637812406","1.33","828517","","","/mutual-fund/holding-history/6421/1437/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","1652995000","1594090000","1.3","850000","","","/mutual-fund/holding-history/6421/61147/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","1656729200","1592918320","1.3","52304","","","/mutual-fund/holding-history/6421/18/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","1673149582","1567239964","1.28","277978","-39513","-12.45","/mutual-fund/holding-history/6421/1023/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","1715859363.9","1563797867","1.27","1602334","","","/mutual-fund/holding-history/6421/1103/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","1635344287.2","1561771739","1.27","5981508","","","/mutual-fund/holding-history/6421/808/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","1460400000","1529550000","1.25","300000","","","/mutual-fund/holding-history/6421/1878/"
"SRF Ltd","SRF","503806","Industrials","1642046000","1516330000","1.23","530000","","","/mutual-fund/holding-history/6421/1283/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","1591909766.05","1499946382","1.22","23580355","","","/mutual-fund/holding-history/6421/325199/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","1488341063.1","1462861045","1.19","1400001","250001","21.74","/mutual-fund/holding-history/6421/4826/"
"UPL Ltd","UPL","512070","Basic Materials","1480625000","1444170000","1.18","2300000","","","/mutual-fund/holding-history/6421/1455/"
"PI Industries Ltd","PIIND","523642","Basic Materials","1554672124","1433642783","1.17","374936","","","/mutual-fund/holding-history/6421/1038/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","1317720000","1351800000","1.1","1200000","","","/mutual-fund/holding-history/6421/764/"
