"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"REC Ltd","RECLTD","532955","Financial Services","2841459408","2904988000","0.66","7219155","","","/mutual-fund/holding-history/8906/1119/"
"Coal India Ltd","COALINDIA","533278","Energy","2743100838.25","2762838000","0.63","7048955","","","/mutual-fund/holding-history/8906/275/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","2885491680","2760925000","0.63","88976","","","/mutual-fund/holding-history/8906/1226/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","2347500000","2442000000","0.56","1500000","1500000","New","/mutual-fund/holding-history/8906/262/"
"Gillette India Ltd","GILLETTE","507815","Consumer Defensive","2463971670","2428247000","0.55","222581","","","/mutual-fund/holding-history/8906/456/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","2396103721.55","2286191000","0.52","5709767","","","/mutual-fund/holding-history/8906/2755533/"
"Tech Mahindra Ltd","TECHM","532755","Technology","1930909568","2104836000","0.48","1247680","","","/mutual-fund/holding-history/8906/1374/"
"One97 Communications Ltd","PAYTM","543396","Technology","2322980000","2032800000","0.46","2200000","","","/mutual-fund/holding-history/8906/712312/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","1963055632.93","1866277000","0.43","11124019","131309","1.19","/mutual-fund/holding-history/8906/616664/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","1677410239.78","1744737000","0.4","7013171","","","/mutual-fund/holding-history/8906/162/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","1727674911.6","1732802000","0.4","2500977","","","/mutual-fund/holding-history/8906/549/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","1557655203.15","1606326000","0.37","3758367","","","/mutual-fund/holding-history/8906/1026/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","1716597842.4","1606223000","0.37","875994","","","/mutual-fund/holding-history/8906/338662/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","1631032850","1575971000","0.36","40045","","","/mutual-fund/holding-history/8906/569/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","1619280000","1531920000","0.35","1300000","","","/mutual-fund/holding-history/8906/476/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","1427088416.6","1445890000","0.33","600677","","","/mutual-fund/holding-history/8906/276/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","1430412306","1440476000","0.33","216434","","","/mutual-fund/holding-history/8906/791/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","1403896023.6","1365669000","0.31","400701","","","/mutual-fund/holding-history/8906/1409/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","1096499784.6","1145383000","0.26","402666","","","/mutual-fund/holding-history/8906/490/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","948532629.9","1029091000","0.23","786707","","","/mutual-fund/holding-history/8906/184/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","941866943.2","942229000","0.21","516601","-400000","-43.64","/mutual-fund/holding-history/8906/710819/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","975288607.5","927076000","0.21","955650","","","/mutual-fund/holding-history/8906/1087/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","869636842.5","833578000","0.19","427235","9526","2.28","/mutual-fund/holding-history/8906/1437/"
"3M India Ltd","3MINDIA","523395","Industrials","186669600","170516000","0.04","5983","-10516","-63.74","/mutual-fund/holding-history/8906/10/"
