"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","83021946","176068000","8.7","87240","","","https://trendlyne.com/mutual-fund/holding-history/541121/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","101167200","106661000","5.27","72000","5800","8.76","https://trendlyne.com/mutual-fund/holding-history/541121/584/"
"State Bank of India","SBIN","500112","Financial Services","98986605.6","97487000","4.82","122387","","","https://trendlyne.com/mutual-fund/holding-history/541121/1193/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","75768000","76461000","3.78","55000","","","https://trendlyne.com/mutual-fund/holding-history/541121/1127/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","61469200","65608000","3.24","104000","","","https://trendlyne.com/mutual-fund/holding-history/541121/1288/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","63385000","63515000","3.14","50000","5000","11.11","https://trendlyne.com/mutual-fund/holding-history/541121/346/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","70368863.4","61991000","3.06","28809","8300","40.47","https://trendlyne.com/mutual-fund/holding-history/541121/2710663/"
"ITC Ltd","ITC","500875","Consumer Defensive","60930000","61793000","3.05","150000","95000","172.73","https://trendlyne.com/mutual-fund/holding-history/541121/647/"
"NTPC Ltd","NTPC","532555","Utilities","61925200","61502000","3.04","184000","","","https://trendlyne.com/mutual-fund/holding-history/541121/959/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","61258200","60965000","3.01","386000","61000","18.77","https://trendlyne.com/mutual-fund/holding-history/541121/1366/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","57663000","59043000","2.92","43000","15500","56.36","https://trendlyne.com/mutual-fund/holding-history/541121/27/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","55825700","58085000","2.87","98000","29500","43.07","https://trendlyne.com/mutual-fund/holding-history/541121/71/"
"Vedanta Ltd","VEDL","500295","Basic Materials","58657500","57463000","2.84","135000","","","https://trendlyne.com/mutual-fund/holding-history/541121/1289/"
"Coforge Ltd","COFORGE","532541","Technology","58124517","57402000","2.84","32835","-6610","-16.76","https://trendlyne.com/mutual-fund/holding-history/541121/942/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","48884000","49873000","2.46","11000","-1000","-8.33","https://trendlyne.com/mutual-fund/holding-history/541121/80502/"
