"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Mar, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Havells India Ltd","HAVELLS","517354","Industrials","998861734.2","968150000","0.26","633233","633015","290373.85","/mutual-fund/holding-history/9386/525/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","882040671.6","767329000","0.2","2755516","2755516","New","/mutual-fund/holding-history/9386/215/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","870819336","723943000","0.19","2485215","","","/mutual-fund/holding-history/9386/502/"
"Sobha Ltd","SOBHA","532784","Real Estate","795749422.5","710087000","0.19","579781","","","/mutual-fund/holding-history/9386/1261/"
"R R Kabel Ltd","RRKABEL","543981","Industrials","902188935.4","649954000","0.17","685606","-140399","-17","/mutual-fund/holding-history/9386/1681351/"
"Restaurant Brands Asia Ltd Ordinary Shares","RBA","543248","Consumer Cyclical","884842108","649608000","0.17","10746200","","","/mutual-fund/holding-history/9386/357598/"
"SRF Ltd","SRF","503806","Industrials","637541098.2","642845000","0.17","218718","-361689","-62.32","/mutual-fund/holding-history/9386/1283/"
"General Insurance Corp of India","GICRE","540755","Financial Services","576360412.5","556345000","0.15","1321170","-429643","-24.54","/mutual-fund/holding-history/9386/63527/"
"UPL Ltd Ordinary Shares (Partly Paid Rs.1)","UPLPP1","890209","Basic Materials","240946297.5","243591000","0.06","562630","562630","New","/mutual-fund/holding-history/9386/2889731/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","6018243.7","5674000","0","2221","","","/mutual-fund/holding-history/9386/153/"
"Cipla Ltd","CIPLA","500087","Healthcare","2107359.5","2026000","0","1405","","","/mutual-fund/holding-history/9386/268/"
