"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","115811626","95808000","0.74","34195","","","https://trendlyne.com/mutual-fund/holding-history/10206/1430/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","92840838.9","89863000","0.7","121313","","","https://trendlyne.com/mutual-fund/holding-history/10206/606/"
"Indian Railway Catering And Tourism Corp Ltd","IRCTC","542830","Industrials","87565720","89545000","0.69","123332","","","https://trendlyne.com/mutual-fund/holding-history/10206/167028/"
"Unimech Aerospace And Manufacturing Ltd","UNIMECH","544322","Industrials","79494480","88438000","0.68","76437","","","https://trendlyne.com/mutual-fund/holding-history/10206/2868825/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","86140236","84657000","0.66","78883","","","https://trendlyne.com/mutual-fund/holding-history/10206/1359/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","88595397","83144000","0.64","32978","","","https://trendlyne.com/mutual-fund/holding-history/10206/560/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","82532632","78357000","0.61","15184","","","https://trendlyne.com/mutual-fund/holding-history/10206/1023/"
"Mphasis Ltd","MPHASIS","526299","Technology","82250947","78034000","0.6","27967","","","https://trendlyne.com/mutual-fund/holding-history/10206/881/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","71780196.6","72819000","0.56","250236","","","https://trendlyne.com/mutual-fund/holding-history/10206/1057/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","63319528","67932000","0.53","54520","","","https://trendlyne.com/mutual-fund/holding-history/10206/276825/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","64389081.5","67478000","0.52","1095425","","","https://trendlyne.com/mutual-fund/holding-history/10206/1337/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","66815396.2","66952000","0.52","52706","","","https://trendlyne.com/mutual-fund/holding-history/10206/346/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","69216957.6","63462000","0.49","74013","","","https://trendlyne.com/mutual-fund/holding-history/10206/424/"
