"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","2150647822.4","1979115000","0.5","1159004","","","/mutual-fund/holding-history/8906/2710663/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","2054427571.9","1963848000","0.49","10992710","976003","9.74","/mutual-fund/holding-history/8906/616664/"
"One97 Communications Ltd","PAYTM","543396","Technology","1875170000","1902450000","0.48","2200000","","","/mutual-fund/holding-history/8906/712312/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","1898759624.84","1877105000","0.47","7678892","","","/mutual-fund/holding-history/8906/974/"
"Tech Mahindra Ltd","TECHM","532755","Technology","2017498560","1875263000","0.47","1247680","","","/mutual-fund/holding-history/8906/1374/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","2004615231","1857222000","0.47","359057","50000","16.18","/mutual-fund/holding-history/8906/1412/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","1833977160.4","1806570000","0.46","5709767","479741","9.17","/mutual-fund/holding-history/8906/2755533/"
"Gillette India Ltd","GILLETTE","507815","Consumer Defensive","1916422410","1788772000","0.45","222581","","","/mutual-fund/holding-history/8906/456/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","1661560473.32","1752802000","0.44","7013171","","","/mutual-fund/holding-history/8906/162/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","1715867661","1733775000","0.44","311438","","","/mutual-fund/holding-history/8906/360/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","1689350000","1638650000","0.41","1300000","","","/mutual-fund/holding-history/8906/476/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","1644517426.35","1562235000","0.39","2500977","","","/mutual-fund/holding-history/8906/549/"
"Colgate-Palmolive (India) Ltd","COLPAL","500830","Consumer Defensive","1615640926.9","1554192000","0.39","600677","","","/mutual-fund/holding-history/8906/276/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","1570057814.25","1531159000","0.39","3758367","630000","20.14","/mutual-fund/holding-history/8906/1026/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","1609734676.2","1489752000","0.38","916601","119155","14.94","/mutual-fund/holding-history/8906/710819/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","1554546900","1382353000","0.35","40045","","","/mutual-fund/holding-history/8906/569/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","1553563252","1371326000","0.35","216434","","","/mutual-fund/holding-history/8906/791/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","1309010026.8","1331129000","0.34","400701","-209117","-34.29","/mutual-fund/holding-history/8906/1409/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","1129155997.2","1102298000","0.28","402666","","","/mutual-fund/holding-history/8906/490/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","995906421.6","948870000","0.24","677764","","","/mutual-fund/holding-history/8906/338662/"
"3M India Ltd","3MINDIA","523395","Industrials","900402160","913447000","0.23","30337","","","/mutual-fund/holding-history/8906/10/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","856554075.4","902251000","0.23","417709","","","/mutual-fund/holding-history/8906/1437/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","972278310","900605000","0.23","955650","","","/mutual-fund/holding-history/8906/1087/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","948450000","891300000","0.22","30000","","","/mutual-fund/holding-history/8906/1226/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","993610941","868682000","0.22","786707","","","/mutual-fund/holding-history/8906/184/"
