"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","3091323830.8","2844764000","0.42","1665943","464467","38.66","/mutual-fund/holding-history/9508/2710663/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","2925257151.1","2778894000","0.41","4448722","-3633","-0.08","/mutual-fund/holding-history/9508/549/"
"Wipro Ltd","WIPRO","507685","Technology","2747853373.23","2609440000","0.38","10805133","","","/mutual-fund/holding-history/9508/1526/"
"Siemens Ltd","SIEMENS","500550","Industrials","2745112170.5","2594867000","0.38","894319","61549","7.39","/mutual-fund/holding-history/9508/1237/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","2627771881.05","2336390000","0.34","16678971","7066331","73.51","/mutual-fund/holding-history/9508/1366/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","2457380250","2326291000","0.34","289700","","","/mutual-fund/holding-history/9508/144/"
"Siemens Engy Ind","","","","","2215441000","0.33","893990","893990","New",""
"NHPC Ltd","NHPC","533098","Utilities","2232679245.11","2135119000","0.31","24887741","-8899219","-26.34","/mutual-fund/holding-history/9508/938/"
"Vedanta Ltd","VEDL","500295","Basic Materials","1998333336.8","1898688000","0.28","4529314","","","/mutual-fund/holding-history/9508/1289/"
"ABB India Ltd","ABB","500002","Industrials","1966182240","1865677000","0.27","337832","337832","New","/mutual-fund/holding-history/9508/17/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","1651746219.2","1590561000","0.23","1218821","","","/mutual-fund/holding-history/9508/845/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","1588912600","1515330000","0.22","33220","11987","56.45","/mutual-fund/holding-history/9508/994/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","1352829625.5","1272131000","0.19","476097","","","/mutual-fund/holding-history/9508/1430/"
"Cipla Ltd","CIPLA","500087","Healthcare","1033179116.8","1067758000","0.16","688832","99514","16.89","/mutual-fund/holding-history/9508/268/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","929675958.57","882591000","0.13","3917229","435587","12.51","/mutual-fund/holding-history/9508/114/"
"Bharti Airtel Ltd (Partly Paid Rs.1.25)","AIRTELPP","890157","Communication Services","611707500","635985000","0.09","450000","","","/mutual-fund/holding-history/9508/715100/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","635394369","589983000","0.09","741417","","","/mutual-fund/holding-history/9508/829878/"
"Oil India Ltd","OIL","533106","Energy","598188604.5","579632000","0.09","1411155","1411155","New","/mutual-fund/holding-history/9508/965/"
"Gillette India Ltd","GILLETTE","507815","Consumer Defensive","509789490","475833000","0.07","59209","","","/mutual-fund/holding-history/9508/456/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","498018451.36","451380000","0.07","3386959","3386959","New","/mutual-fund/holding-history/9508/878/"
"Gujarat Pipavav Port Ltd","GPPL","533248","Industrials","375180108.48","344200000","0.05","2588163","","","/mutual-fund/holding-history/9508/487/"
"LTIMindtree Ltd","LTIM","540005","Technology","357611391","324931000","0.05","70845","","","/mutual-fund/holding-history/9508/4596/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","276798616","211999000","0.03","199999","","","/mutual-fund/holding-history/9508/198/"
"Syngene International Ltd","SYNGENE","539268","Healthcare","65298345","64150000","0.01","101175","-34446","-25.4","/mutual-fund/holding-history/9508/1771/"
