"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Timken India Ltd","TIMKEN","522113","Industrials","361791666","283852000","0.37","115740","","","/mutual-fund/holding-history/9129/1399/"
"Birlasoft Ltd","BSOFT","532400","Technology","292478344.5","274669000","0.36","703919","","","/mutual-fund/holding-history/9129/763/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","288272980.15","270836000","0.36","4857169","432000","9.76","/mutual-fund/holding-history/9129/856676/"
"Kirloskar Ferrous Industries Ltd","","500245","Industrials","325967928","266672000","0.35","581048","92132","18.84","/mutual-fund/holding-history/9129/2056/"
"Matrimony.com Ltd","MATRIMONY","540704","Communication Services","261297854.6","262555000","0.35","523958","","","/mutual-fund/holding-history/9129/60598/"
"UTI Asset Management Co Ltd","UTIAMC","543238","Financial Services","304938809.1","257497000","0.34","252621","","","/mutual-fund/holding-history/9129/305194/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","262081998","252558000","0.33","133579","","","/mutual-fund/holding-history/9129/1955/"
"Kewal Kiran Clothing Ltd","KKCL","532732","Consumer Cyclical","252466436.8","250949000","0.33","572746","","","/mutual-fund/holding-history/9129/749/"
"Oil India Ltd","OIL","533106","Energy","256410437.8","244193000","0.32","594506","594506","New","/mutual-fund/holding-history/9129/965/"
"Vardhman Special Steels Ltd","VSSL","534392","Basic Materials","272114010","240900000","0.32","1000125","-527","-0.05","/mutual-fund/holding-history/9129/1501/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","207710545","227478000","0.3","608230","","","/mutual-fund/holding-history/9129/706/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","201362640","196327000","0.26","4304","","","/mutual-fund/holding-history/9129/994/"
"Automotive Axles Ltd","AUTOAXLES","505010","Consumer Cyclical","205498547.1","191184000","0.25","115533","1481","1.3","/mutual-fund/holding-history/9129/135/"
"Universal Cables Ltd","UNIVCABLES","504212","Industrials","261476835.2","188708000","0.25","422828","","","/mutual-fund/holding-history/9129/1453/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","174570000","181928000","0.24","75000","75000","New","/mutual-fund/holding-history/9129/117/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","196750800","178123000","0.23","5160","5160","New","/mutual-fund/holding-history/9129/569/"
"Tatva Chintan Pharma Chem Ltd","TATVA","543321","Basic Materials","226731748.6","177028000","0.23","251282","","","/mutual-fund/holding-history/9129/596196/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","211044430","174459000","0.23","37195","","","/mutual-fund/holding-history/9129/169/"
"JTEKT India Ltd","JTEKTINDIA","520057","Consumer Cyclical","164113982.76","167583000","0.22","1179997","16219","1.39","/mutual-fund/holding-history/9129/1266/"
"Nesco Ltd","NESCO","505355","Industrials","165915917.85","165320000","0.22","175359","","","/mutual-fund/holding-history/9129/929/"
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","177088801.5","165182000","0.22","402246","","","/mutual-fund/holding-history/9129/623875/"
"Gufic Biosciences Ltd","GUFICBIO","509079","Healthcare","169346188.75","162263000","0.21","441293","-14058","-3.09","/mutual-fund/holding-history/9129/509/"
"India Cements Ltd","INDIACEM","530005","Basic Materials","171426624.7","156440000","0.21","508006","-180123","-26.18","/mutual-fund/holding-history/9129/607/"
"VST Tillers Tractors Ltd","VSTTILLERS","531266","Industrials","163333979.4","155498000","0.2","43507","-3718","-7.87","/mutual-fund/holding-history/9129/1503/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","168352384.05","154711000","0.2","356641","","","/mutual-fund/holding-history/9129/747240/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","144639903.64","136002000","0.18","603622","","","/mutual-fund/holding-history/9129/114/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","143185297.2","134757000","0.18","69366","-383127","-84.67","/mutual-fund/holding-history/9129/120412/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","110216388","106820000","0.14","113205","-334391","-74.71","/mutual-fund/holding-history/9129/1103/"
"Coal India Ltd","COALINDIA","533278","Energy","103403872.9","99616000","0.13","258542","-186788","-41.94","/mutual-fund/holding-history/9129/275/"
"Kalyani Steels Ltd","KSL","500235","Basic Materials","109714929","95762000","0.13","137058","52366","61.83","/mutual-fund/holding-history/9129/773/"
"Route Mobile Ltd Ordinary Shares","ROUTE","543228","Communication Services","58693138.85","58724000","0.08","61753","","","/mutual-fund/holding-history/9129/290299/"
"CARE Ratings Ltd","CARERATING","534804","Financial Services","60291130.5","42746000","0.06","35351","35351","New","/mutual-fund/holding-history/9129/240/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","29955702","26076000","0.03","26824","-107220","-79.99","/mutual-fund/holding-history/9129/712/"
"Advanced Enzyme Technologies Ltd","ADVENZYMES","540025","Basic Materials","18326405","17146000","0.02","59900","","","/mutual-fund/holding-history/9129/4635/"
