"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Premier Energies Ltd","PREMIERENE","544238","Technology","900623489.8","850641790","0.36","866234","","","/mutual-fund/holding-history/17696/2571009/"
"KNR Constructions Ltd","KNRCON","532942","Industrials","857948354","847141690","0.36","3873356","","","/mutual-fund/holding-history/17696/752/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","869038296.6","842839620","0.36","216518","","","/mutual-fund/holding-history/17696/169265/"
"PG Electroplast Ltd","PGEL","533581","Technology","749972216.3","825663770","0.35","977927","","","/mutual-fund/holding-history/17696/1031/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","828443517.2","819404140","0.35","237254","","","/mutual-fund/holding-history/17696/1372/"
"Timken India Ltd","TIMKEN","522113","Industrials","1032896625","805462310","0.35","328425","","","/mutual-fund/holding-history/17696/1399/"
"L&T Technology Services Ltd","LTTS","540115","Technology","832569675","797141980","0.34","187250","","","/mutual-fund/holding-history/17696/4708/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","1094750000","783050000","0.34","500000","","","/mutual-fund/holding-history/17696/67/"
"Firstsource Solutions Ltd","FSL","532809","Technology","852839213.4","751583860","0.32","2205999","","","/mutual-fund/holding-history/17696/428/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","850159056.6","750626720","0.32","1560068","","","/mutual-fund/holding-history/17696/547977/"
"Titagarh Rail Systems Ltd","TITAGARH","532966","Industrials","870705388.8","696918790","0.3","932832","300000","47.41","/mutual-fund/holding-history/17696/1434/"
"Alicon Castalloy Ltd","ALICON","531147","Industrials","930603824.15","679887430","0.29","1011361","","","/mutual-fund/holding-history/17696/56/"
"SBFC Finance Ltd","SBFC","543959","Financial Services","679143302.18","653452550","0.28","6390734","","","/mutual-fund/holding-history/17696/1578900/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","690301738","628442590","0.27","1448692","","","/mutual-fund/holding-history/17696/747240/"
"Inventurus Knowledge Solutions Ltd","IKS","544309","Healthcare","654151534.4","616325310","0.26","417508","","","/mutual-fund/holding-history/17696/2842042/"
"OneSource Specialty Pharma Ltd","","530805","Healthcare","565971.56","597394010","0.26","367514","","","/mutual-fund/holding-history/17696/82741/"
"Mahindra Lifespace Developers Ltd","MAHLIFE","532313","Real Estate","579412873.6","586803780","0.25","1718816","","","/mutual-fund/holding-history/17696/818/"
"KEI Industries Ltd","KEI","517569","Industrials","662809475.5","571560530","0.25","186565","","","/mutual-fund/holding-history/17696/729/"
"VST Industries Ltd","VSTIND","509966","Consumer Defensive","543418796.8","550913570","0.24","1897412","","","/mutual-fund/holding-history/17696/1502/"
