"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Mahindra Lifespace Developers Ltd","MAHLIFE","532313","Real Estate","623500504","596257270","0.24","1718816","","","/mutual-fund/holding-history/17696/818/"
"Strides Pharma Science Ltd","STAR","532531","Healthcare","655571473.2","596181210","0.24","735028","","","/mutual-fund/holding-history/17696/1291/"
"VST Industries Ltd","VSTIND","509966","Consumer Defensive","541331643.6","542375220","0.22","1897412","","","/mutual-fund/holding-history/17696/1502/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","558328725.6","530162890","0.21","271086","","","/mutual-fund/holding-history/17696/1955/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","514134625.8","527448600","0.21","672423","","","/mutual-fund/holding-history/17696/279/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","579518887.3","504499440","0.2","231613","","","/mutual-fund/holding-history/17696/253/"
"Sharda Motor Industries Ltd","SHARDAMOTR","535602","Consumer Cyclical","485700293","491667250","0.2","258310","","","/mutual-fund/holding-history/17696/1769/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","495890436.7","487400920","0.19","466457","466457","New","/mutual-fund/holding-history/17696/4826/"
"Engineers India Ltd","ENGINERSIN","532178","Industrials","456139586.15","467194430","0.19","2035883","","","/mutual-fund/holding-history/17696/380/"
"MTAR Technologies Ltd","MTARTECH","543270","Industrials","478100903.2","464072390","0.19","282833","","","/mutual-fund/holding-history/17696/436155/"
"Aether Industries Ltd","AETHER","543534","Basic Materials","463385258","436249560","0.17","585452","","","/mutual-fund/holding-history/17696/903803/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","477950858.55","433149710","0.17","616671","","","/mutual-fund/holding-history/17696/450809/"
"EPL Ltd Ordinary Shares","EPL","500135","Consumer Cyclical","376144015.6","391882790","0.16","1586570","","","/mutual-fund/holding-history/17696/393/"
"Prudent Corporate Advisory Services Ltd","PRUDENT","543527","Financial Services","350687500","369087500","0.15","125000","","","/mutual-fund/holding-history/17696/888523/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","363494713.05","368361720","0.15","785001","","","/mutual-fund/holding-history/17696/14/"
