"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","1261813132.8","1126789568","0.9","995749","","","/mutual-fund/holding-history/8298/2214/"
"Atul Ltd","ATUL","500027","Basic Materials","1160280000","1113090000","0.89","165000","","","/mutual-fund/holding-history/8298/129/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","1100430000","1100025000","0.88","4500000","","","/mutual-fund/holding-history/8298/974/"
"Cyient Ltd","CYIENT","532175","Industrials","1226814934.8","1081888995","0.86","910911","","","/mutual-fund/holding-history/8298/301/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","1086726294","1047234151","0.84","553887","","","/mutual-fund/holding-history/8298/1955/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","1085040000","1027920000","0.82","1600000","","","/mutual-fund/holding-history/8298/450809/"
"SJS Enterprises Ltd","SJS","543387","Consumer Cyclical","1192215299.4","1020973025","0.81","1098411","","","/mutual-fund/holding-history/8298/710818/"
"Pricol Ltd","PRICOLLTD","540293","Consumer Cyclical","1035620772.7","1020471600","0.81","2330642","","","/mutual-fund/holding-history/8298/1072/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","927686116","1015972496","0.81","2716504","","","/mutual-fund/holding-history/8298/706/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","1105095657.6","1009131354","0.81","2868888","","","/mutual-fund/holding-history/8298/404/"
"Go Fashion (India) Ltd","GOCOLORS","543401","Consumer Cyclical","1068937500","982375000","0.78","1250000","5310","0.43","/mutual-fund/holding-history/8298/728986/"
"Ahluwalia Contracts (India) Ltd","AHLUCONT","532811","Industrials","1064712966.25","966357294","0.77","1139035","","","/mutual-fund/holding-history/8298/43/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","1040601006.25","901954892","0.72","1208245","","","/mutual-fund/holding-history/8298/745/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","943702000","898566000","0.72","310000","","","/mutual-fund/holding-history/8298/67548/"
"Tega Industries Ltd","TEGA","543413","Industrials","1036691466.4","893104842","0.71","660776","","","/mutual-fund/holding-history/8298/743298/"
"Finolex Industries Ltd","FINPIPE","500940","Industrials","1145376173","889228596","0.71","5096450","","","/mutual-fund/holding-history/8298/417/"
"Finolex Cables Ltd","FINCABLES","500144","Industrials","982418478.1","861262312","0.69","993898","","","/mutual-fund/holding-history/8298/416/"
"GHCL Ltd","GHCL","500171","Basic Materials","918747827.2","844172493","0.67","1449472","","","/mutual-fund/holding-history/8298/453/"
"Gateway Distriparks Ltd","GATEWAY","543489","Industrials","893829168","824860868","0.66","13793660","","","/mutual-fund/holding-history/8298/852172/"
"India Shelter Finance Corporation Ltd","INDIASHLTR","544044","Financial Services","817475000","823412500","0.66","950000","","","/mutual-fund/holding-history/8298/1826519/"
"Apollo Pipes Ltd","APOLLOPIPE","531761","Industrials","954653700","797466600","0.64","2023000","","","/mutual-fund/holding-history/8298/3689/"
"Titagarh Rail Systems Ltd","TITAGARH","532966","Industrials","904389399","719562641","0.57","963141","","","/mutual-fund/holding-history/8298/1434/"
"Vishnu Chemicals Ltd","VISHNU","516072","Basic Materials","858832821","705419442","0.56","1659420","","","/mutual-fund/holding-history/8298/1579/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","884409678.9","678754854","0.54","293541","","","/mutual-fund/holding-history/8298/300864/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","672336100.6","677527781","0.54","537998","537998","New","/mutual-fund/holding-history/8298/1521/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","788919294","662478813","0.53","45597","","","/mutual-fund/holding-history/8298/202203/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","658400000","650000000","0.52","2000000","","","/mutual-fund/holding-history/8298/502/"
"Karnataka Bank Ltd","KTKBANK","532652","Financial Services","648799410.68","647147429","0.52","3303964","","","/mutual-fund/holding-history/8298/775/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","697896000","644256000","0.51","240000","","","/mutual-fund/holding-history/8298/1114/"
"Birlasoft Ltd","BSOFT","532400","Technology","685575000","643830000","0.51","1650000","","","/mutual-fund/holding-history/8298/763/"
"Shankara Building Products Ltd","SHANKARA","540425","Consumer Cyclical","879995847.1","641755160","0.51","1071467","","","/mutual-fund/holding-history/8298/53325/"
"Ujjivan Small Finance Bank Ltd Ordinary Shares","UJJIVANSFB","542904","Financial Services","676350000","639450000","0.51","15000000","15000000","New","/mutual-fund/holding-history/8298/175415/"
"Praj Industries Ltd","PRAJIND","522205","Industrials","677448344.35","637964522","0.51","1382971","-371402","-21.17","/mutual-fund/holding-history/8298/1061/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","726100000","611100000","0.49","2000000","2000000","New","/mutual-fund/holding-history/8298/888524/"
"Ceat Ltd","CEATLTD","500878","Consumer Cyclical","584551360.8","521228092","0.42","156431","42921","37.81","/mutual-fund/holding-history/8298/244/"
