"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Premier Energies Ltd","PREMIERENE","544238","Technology","416330005.6","394173000","0.64","401398","-84715","-17.43","/mutual-fund/holding-history/137666/2571009/"
"Orchid Pharma Ltd","ORCHPHARMA","524372","Healthcare","320539868.6","364602000","0.59","455183","4895","1.09","/mutual-fund/holding-history/137666/980/"
"Ingersoll-Rand (India) Ltd","INGERRAND","500210","Industrials","383311215","358837000","0.58","95565","1028","1.09","/mutual-fund/holding-history/137666/631/"
"KNR Constructions Ltd","KNRCON","532942","Industrials","354416392.99","350221000","0.56","1601303","-116857","-6.8","/mutual-fund/holding-history/137666/752/"
"Senco Gold Ltd","SENCO","543936","Consumer Cyclical","358555734","341636000","0.55","983692","-304877","-23.66","/mutual-fund/holding-history/137666/1525832/"
"Neogen Chemicals Ltd","NEOGEN","542665","Basic Materials","376286393","339170000","0.55","222523","2393","1.09","/mutual-fund/holding-history/137666/141845/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","349204202.85","322216000","0.52","450557","4845","1.09","/mutual-fund/holding-history/137666/234/"
"Netweb Technologies India Ltd","NETWEB","543945","Technology","397466281.8","291830000","0.47","206766","-197611","-48.87","/mutual-fund/holding-history/137666/1544933/"
"Seamec Ltd","SEAMECLTD","526807","Industrials","271882170","280441000","0.45","287706","-10038","-3.37","/mutual-fund/holding-history/137666/1198/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","367868338.2","277380000","0.45","261679","2814","1.09","/mutual-fund/holding-history/137666/198/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","358730992.5","254155000","0.41","162285","1745","1.09","/mutual-fund/holding-history/137666/67/"
"Aether Industries Ltd","AETHER","543534","Basic Materials","228122016.75","244420000","0.39","303495","3264","1.09","/mutual-fund/holding-history/137666/903803/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","271754425","223412000","0.36","173645","-717","-0.41","/mutual-fund/holding-history/137666/612873/"
"Indegene Ltd","INDGN","544172","Healthcare","213161706","193631000","0.31","353502","3802","1.09","/mutual-fund/holding-history/137666/2242832/"
"Medi Assist Healthcare Services Ltd","MEDIASSIST","544088","Healthcare","59416329.6","51926000","0.08","115686","-1183600","-91.1","/mutual-fund/holding-history/137666/755506/"
"Kross Ltd","KROSS","544253","Consumer Cyclical","54016008.6","50231000","0.08","307959","-164091","-34.76","/mutual-fund/holding-history/137666/2613902/"
"Brainbees Solutions Ltd","FIRSTCRY","544226","Consumer Cyclical","36856282.1","35466000","0.06","104542","104542","New","/mutual-fund/holding-history/137666/2487439/"
"Ecos (India) Mobility & Hospitality Ltd","ECOSMOBLTY","544239","Industrials","31084314.8","22046000","0.04","112706","-252644","-69.15","/mutual-fund/holding-history/137666/2571013/"
