"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Universal Cables Ltd","UNIVCABLES","504212","Industrials","247743750","223931000","0.27","375000","-47828","-11.31","/mutual-fund/holding-history/9129/1453/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","204628292.5","211204000","0.26","37195","","","/mutual-fund/holding-history/9129/169/"
"Tatva Chintan Pharma Chem Ltd","TATVA","543321","Basic Materials","220277046","210288000","0.25","232851","-18431","-7.33","/mutual-fund/holding-history/9129/596196/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","202510178.5","209839000","0.25","608230","","","/mutual-fund/holding-history/9129/706/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","196391520","199620000","0.24","4304","","","/mutual-fund/holding-history/9129/994/"
"Godawari Power & Ispat Ltd","GPIL","532734","Basic Materials","168321115.62","172905000","0.21","907734","907734","New","/mutual-fund/holding-history/9129/486/"
"Gufic Biosciences Ltd","GUFICBIO","509079","Healthcare","163631444.4","172546000","0.21","441293","","","/mutual-fund/holding-history/9129/509/"
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","174916673.1","170733000","0.21","402246","","","/mutual-fund/holding-history/9129/623875/"
"JTEKT India Ltd","JTEKTINDIA","520057","Consumer Cyclical","169953104.2","165329000","0.2","1191817","11820","1","/mutual-fund/holding-history/9129/1266/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","142309922.72","142473000","0.17","603622","","","/mutual-fund/holding-history/9129/114/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","117952946.7","122108000","0.15","275141","-81500","-22.85","/mutual-fund/holding-history/9129/747240/"
"AstraZeneca Pharma India Ltd","ASTRAZEN","506820","Healthcare","149750142","116288000","0.14","14587","-20735","-58.7","/mutual-fund/holding-history/9129/124/"
"Kalyani Steels Ltd","KSL","500235","Basic Materials","110688040.8","108934000","0.13","137058","","","/mutual-fund/holding-history/9129/773/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","78850000","75135000","0.09","50000","-238731","-82.68","/mutual-fund/holding-history/9129/845/"
"VST Tillers Tractors Ltd","VSTTILLERS","531266","Industrials","72889924.8","74533000","0.09","19398","-24109","-55.41","/mutual-fund/holding-history/9129/1503/"
"Route Mobile Ltd Ordinary Shares","ROUTE","543228","Communication Services","65590948.95","58619000","0.07","61753","","","/mutual-fund/holding-history/9129/290299/"
"ITC Ltd","ITC","500875","Consumer Defensive","54856548.6","54837000","0.07","131173","131173","New","/mutual-fund/holding-history/9129/647/"
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","54081000","52313000","0.06","90000","90000","New","/mutual-fund/holding-history/9129/1418/"
"BASF India Ltd","BASF","500042","Basic Materials","42667800","43786000","0.05","8400","8400","New","/mutual-fund/holding-history/9129/166/"
"La Opala RG Ltd","LAOPALA","526947","Consumer Cyclical","34160508.96","31987000","0.04","130056","130056","New","/mutual-fund/holding-history/9129/784/"
"Century Enka Ltd","CENTENKA","500280","Consumer Cyclical","31393878.6","29841000","0.04","64043","64043","New","/mutual-fund/holding-history/9129/248/"
"Huhtamaki India Ltd Ordinary Shares","HUHTAMAKI","509820","Consumer Cyclical","25795855.84","25400000","0.03","123733","123733","New","/mutual-fund/holding-history/9129/1002/"
"Advanced Enzyme Technologies Ltd","ADVENZYMES","540025","Basic Materials","20564039.1","18623000","0.02","61039","1139","1.9","/mutual-fund/holding-history/9129/4635/"
"Apcotex Industries Ltd","APCOTEXIND","523694","Basic Materials","18096286","17393000","0.02","47528","47528","New","/mutual-fund/holding-history/9129/89/"
