"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Carysil Ltd","CARYSIL","524091","Consumer Cyclical","915000000","827900000","0.51","1000000","","","/mutual-fund/holding-history/8801/3001/"
"Anand Rathi Wealth Ltd","ANANDRATHI","543415","Financial Services","852574464","760388000","0.47","405216","","","/mutual-fund/holding-history/8801/747241/"
"Sudarshan Chemical Industries Ltd","SUDARSCHEM","506655","Basic Materials","819840000","755392000","0.46","640000","","","/mutual-fund/holding-history/8801/1304/"
"KNR Constructions Ltd","KNRCON","532942","Industrials","751282742.4","743837000","0.46","3528640","","","/mutual-fund/holding-history/8801/752/"
"R Systems International Ltd","RSYSTEMS","532735","Technology","897400000","732900000","0.45","2000000","","","/mutual-fund/holding-history/8801/1153/"
"Stylam Industries Ltd","STYLAMIND","526951","Consumer Cyclical","739680066","714815000","0.44","436235","","","/mutual-fund/holding-history/8801/3226/"
"Happy Forgings Ltd","HAPPYFORGE","544057","Industrials","705535864.2","692298000","0.42","711692","11692","1.67","/mutual-fund/holding-history/8801/1833301/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","705360000","683250000","0.42","600000","","","/mutual-fund/holding-history/8801/712/"
"Graphite India Ltd","GRAPHITE","509488","Industrials","603572296.8","612204000","0.38","1120944","","","/mutual-fund/holding-history/8801/489/"
"JNK India Ltd","JNKINDIA","544167","Industrials","530695890","530023000","0.33","1494918","","","/mutual-fund/holding-history/8801/2217258/"
"GHCL Textiles Ltd","GHCLTEXTIL","543918","Consumer Cyclical","398223000","395084000","0.24","4300000","170052","4.12","/mutual-fund/holding-history/8801/1496867/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","351660000","364272000","0.22","120000","","","/mutual-fund/holding-history/8801/300864/"
"Power Mech Projects Ltd","POWERMECH","539302","Industrials","279729000","279648000","0.17","90000","","","/mutual-fund/holding-history/8801/1766/"
"IRM Energy Ltd","IRMENERGY","544004","Utilities","241142031","228459000","0.14","807846","","","/mutual-fund/holding-history/8801/1748143/"
