"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Jupiter Wagons Ltd","JWL","533272","Industrials","117782188.65","125660000","0.66","323533","","","/mutual-fund/holding-history/138033/245/"
"Tinna Rubber & Infrastructure Ltd","","530475","Basic Materials","124320266","125633000","0.66","131278","","","/mutual-fund/holding-history/138033/3340/"
"Gufic Biosciences Ltd","GUFICBIO","509079","Healthcare","132278354","125570000","0.66","344924","","","/mutual-fund/holding-history/138033/509/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","137695936","123848000","0.65","46880","","","/mutual-fund/holding-history/138033/877860/"
"Advanced Enzyme Technologies Ltd","ADVENZYMES","540025","Basic Materials","122364000","115740000","0.61","360000","","","/mutual-fund/holding-history/138033/4635/"
"Sanstar Ltd","SANSTAR","544217","Basic Materials","103306000","115274000","0.6","1099000","","","/mutual-fund/holding-history/138033/2444060/"
"Apar Industries Ltd","APARINDS","532259","Industrials","115465596","109603000","0.57","12567","1567","14.25","/mutual-fund/holding-history/138033/88/"
"Sterling and Wilson Renewable Energy Ltd","SWSOLAR","542760","Technology","100376250","103968000","0.54","325000","","","/mutual-fund/holding-history/138033/155630/"
"Capri Global Capital Ltd","CGCL","531595","Financial Services","109680000","103620000","0.54","600000","600000","New","/mutual-fund/holding-history/138033/257/"
"General Insurance Corp of India","GICRE","540755","Financial Services","102590123.8","102951000","0.54","267301","-132699","-33.17","/mutual-fund/holding-history/138033/63527/"
"Rane Holdings Ltd","RANEHOLDIN","505800","Consumer Cyclical","92218955.4","92480000","0.48","58098","","","/mutual-fund/holding-history/138033/1111/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","86442400","89373000","0.47","44000","","","/mutual-fund/holding-history/138033/1955/"
"PCBL Chemical Ltd","PCBL","506590","Basic Materials","83090000","83780000","0.44","200000","","","/mutual-fund/holding-history/138033/1034/"
"Stylam Industries Ltd","STYLAMIND","526951","Consumer Cyclical","83317593.2","78224000","0.41","47741","","","/mutual-fund/holding-history/138033/3226/"
"Prataap Snacks Ltd","DIAMONDYD","540724","Consumer Defensive","48160935.2","48965000","0.26","46456","","","/mutual-fund/holding-history/138033/60394/"
"Steelcast Ltd","STEELCAS","513517","Basic Materials","48240000","46488000","0.24","40000","","","/mutual-fund/holding-history/138033/2641/"
"Shanthi Gears Ltd","SHANTIGEAR","522034","Industrials","32178372.75","28220000","0.15","57405","-156246","-73.13","/mutual-fund/holding-history/138033/1213/"
"Sanathan Textiles Ltd","SANATHAN","544314","Consumer Cyclical","21874054","19342000","0.1","40280","40280","New","/mutual-fund/holding-history/138033/2863354/"
"Praj Industries Ltd","PRAJIND","522205","Industrials","5236872.8","5402000","0.03","10616","-232384","-95.63","/mutual-fund/holding-history/138033/1061/"
"Ethos Limited","","","","","3460000","0.02","4360","4360","New",""
