"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Axis Bank Ltd","AXISBANK","532215","Financial Services","1098000000","1199200000","0.67","1000000","1000000","New","/mutual-fund/holding-history/7995/140/"
"Atul Ltd","ATUL","500027","Basic Materials","1007348842.5","1112093000","0.62","148785","","","/mutual-fund/holding-history/7995/129/"
"Sandhar Technologies Ltd Ordinary Shares","SANDHAR","541163","Consumer Cyclical","940048373.8","1040029000","0.58","1933858","","","/mutual-fund/holding-history/7995/80794/"
"Suraksha Diagnostic Ltd","SURAKSHA","544293","Healthcare","954289504","989588000","0.55","3043015","","","/mutual-fund/holding-history/7995/2815514/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","982830191.4","935987000","0.52","964836","","","/mutual-fund/holding-history/7995/1087/"
"WPIL Ltd","","505872","Industrials","851153600","813142000","0.45","1934440","","","/mutual-fund/holding-history/7995/2254/"
"Apollo Pipes Ltd","APOLLOPIPE","531761","Industrials","648086373.2","654645000","0.36","1525268","","","/mutual-fund/holding-history/7995/3689/"
"Amara Raja Energy & Mobility Ltd","ARE&M","500008","Industrials","655974510.75","632597000","0.35","655745","-20021","-2.96","/mutual-fund/holding-history/7995/68/"
"Go Fashion (India) Ltd","GOCOLORS","543401","Consumer Cyclical","536316004.9","536771000","0.3","606658","","","/mutual-fund/holding-history/7995/728986/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","522177817","513569000","0.28","1324484","-4212823","-76.08","/mutual-fund/holding-history/7995/404/"
"Kewal Kiran Clothing Ltd","KKCL","532732","Consumer Cyclical","511578047.2","471754000","0.26","915494","","","/mutual-fund/holding-history/7995/749/"
"KNR Constructions Ltd","KNRCON","532942","Industrials","469531342.8","462963000","0.26","2078492","","","/mutual-fund/holding-history/7995/752/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","398597186.1","394263000","0.22","463539","","","/mutual-fund/holding-history/7995/2974675/"
"Jupiter Life Line Hospitals Ltd","JLHL","543980","Healthcare","376898283.6","384107000","0.21","256533","","","/mutual-fund/holding-history/7995/1665481/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","53466238.8","52774000","0.03","197256","197256","New","/mutual-fund/holding-history/7995/721/"
