"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Shoppers Stop Ltd","SHOPERSTOP","532638","Consumer Cyclical","1276904718.5","1159677000","0.68","2312186","-23593","-1.01","/mutual-fund/holding-history/8801/1225/"
"West Coast Paper Mills Ltd","WSTCSTPAPR","500444","Basic Materials","1261249652.6","1138072000","0.66","2249821","49821","2.26","/mutual-fund/holding-history/8801/1530/"
"HLE Glascoat Ltd","HLEGLAS","522215","Industrials","991619608","1126917000","0.66","2401016","","","/mutual-fund/holding-history/8801/2892/"
"Amrutanjan Health Care Ltd","AMRUTANJAN","590006","Healthcare","1023602388.9","1055420000","0.62","1466269","","","/mutual-fund/holding-history/8801/74/"
"Sheela Foam Ltd","SFL","540203","Consumer Cyclical","971282500","1053642000","0.62","1450000","","","/mutual-fund/holding-history/8801/4957/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","941100000","1006650000","0.59","15000000","","","/mutual-fund/holding-history/8801/325199/"
"R Systems International Ltd","RSYSTEMS","532735","Technology","925083115.4","944707000","0.55","2054827","54827","2.74","/mutual-fund/holding-history/8801/1153/"
"Anand Rathi Wealth Ltd","ANANDRATHI","543415","Financial Services","1071958406.4","875145000","0.51","405216","","","/mutual-fund/holding-history/8801/747241/"
"Carysil Ltd","CARYSIL","524091","Consumer Cyclical","891750000","869850000","0.51","1000000","","","/mutual-fund/holding-history/8801/3001/"
"Sudarshan Chemical Industries Ltd","SUDARSCHEM","506655","Basic Materials","802944000","789376000","0.46","640000","","","/mutual-fund/holding-history/8801/1304/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","711600000","736320000","0.43","600000","","","/mutual-fund/holding-history/8801/712/"
"Engineers India Ltd","ENGINERSIN","532178","Industrials","726690000","722430000","0.42","3000000","-2630873","-46.72","/mutual-fund/holding-history/8801/380/"
"Stylam Industries Ltd","STYLAMIND","526951","Consumer Cyclical","761317322","714771000","0.42","436235","","","/mutual-fund/holding-history/8801/3226/"
"Happy Forgings Ltd","HAPPYFORGE","544057","Industrials","670307110.2","683794000","0.4","711692","","","/mutual-fund/holding-history/8801/1833301/"
"Graphite India Ltd","GRAPHITE","509488","Industrials","630699141.6","634678000","0.37","1120944","","","/mutual-fund/holding-history/8801/489/"
"JNK India Ltd","JNKINDIA","544167","Industrials","501021767.7","521353000","0.3","1494918","","","/mutual-fund/holding-history/8801/2217258/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","461207760","480508000","0.28","164400","44400","37","/mutual-fund/holding-history/8801/300864/"
"GHCL Textiles Ltd","GHCLTEXTIL","543918","Consumer Cyclical","396589000","412499000","0.24","4300000","","","/mutual-fund/holding-history/8801/1496867/"
"Power Mech Projects Ltd","POWERMECH","539302","Industrials","289494000","302049000","0.18","90000","","","/mutual-fund/holding-history/8801/1766/"
"CSB Bank Ltd Ordinary Shares","CSBBANK","542867","Financial Services","286699604","265865000","0.16","674270","674270","New","/mutual-fund/holding-history/8801/174482/"
"IRM Energy Ltd","IRMENERGY","544004","Utilities","241667130.9","246555000","0.14","807846","","","/mutual-fund/holding-history/8801/1748143/"
"KNR Constructions Ltd","KNRCON","532942","Industrials","241050435.3","237679000","0.14","1067067","-2461573","-69.76","/mutual-fund/holding-history/8801/752/"
