"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Karnataka Bank Ltd","KTKBANK","532652","Financial Services","679493236.24","653887515","0.48","3303964","","","/mutual-fund/holding-history/8298/775/"
"Ujjivan Small Finance Bank Ltd Ordinary Shares","UJJIVANSFB","542904","Financial Services","725550000","645450000","0.48","15000000","","","/mutual-fund/holding-history/8298/175415/"
"India Shelter Finance Corporation Ltd","INDIASHLTR","544044","Financial Services","617400000","611345000","0.45","700000","-250000","-26.32","/mutual-fund/holding-history/8298/1826519/"
"Ceat Ltd","CEATLTD","500878","Consumer Cyclical","569221122.8","591105820","0.44","156431","","","/mutual-fund/holding-history/8298/244/"
"Shivalik Bimetal Controls Ltd","SBCL","513097","Industrials","499200531.3","512142004","0.38","1031193","","","/mutual-fund/holding-history/8298/2607/"
"Indoco Remedies Ltd","INDOCO","532612","Healthcare","574356611.6","507775403","0.37","2025592","","","/mutual-fund/holding-history/8298/614/"
"TTK Prestige Ltd","TTKPRESTIG","517506","Consumer Cyclical","494968679.4","500034560","0.37","804108","","","/mutual-fund/holding-history/8298/1421/"
"S.P. Apparels Ltd","SPAL","540048","Consumer Cyclical","488303460","494368200","0.36","612600","","","/mutual-fund/holding-history/8298/4656/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","451770000","480870000","0.36","300000","","","/mutual-fund/holding-history/8298/612873/"
"Stanley Lifestyles Ltd","STANLEY","544202","Consumer Cyclical","446386690.05","434304723","0.32","1292189","","","/mutual-fund/holding-history/8298/2350518/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","414325000","418975000","0.31","2500000","","","/mutual-fund/holding-history/8298/616664/"
"Pitti Engineering Ltd","PITTIENG","513519","Industrials","234981842","234519536","0.17","237080","","","/mutual-fund/holding-history/8298/1045/"
"Music Broadcast Limited","","","","","211920352","0.16","1892146","","",""
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","137913750","138358800","0.1","10350","10350","New","/mutual-fund/holding-history/8298/1508/"
"Tracxn Technologies Ltd","TRACXN","543638","Technology","112880000","114900000","0.08","2000000","","","/mutual-fund/holding-history/8298/758704/"
