"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Greenpanel Industries Ltd Ordinary Shares","GREENPANEL","542857","Basic Materials","196285861.1","173980000","0.17","748754","","","/mutual-fund/holding-history/189266/170350/"
"TBO Tek Ltd","TBOTEK","544174","Consumer Cyclical","184937186","160541000","0.16","142919","44412","45.09","/mutual-fund/holding-history/189266/2245414/"
"VRL Logistics Ltd","VRLLOG","539118","Industrials","197722112.5","158223000","0.15","345125","","","/mutual-fund/holding-history/189266/1688/"
"Bluspring Enterpri","","","","","155613000","0.15","888303","888303","New",""
"PG Electroplast Ltd","PGEL","533581","Technology","140786852.4","155340000","0.15","183987","-245242","-57.14","/mutual-fund/holding-history/189266/1031/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","183961401","148314000","0.14","32205","","","/mutual-fund/holding-history/189266/445359/"
"Sterlite Technologies Ltd","STLTECH","532374","Technology","168230139.7","147231000","0.14","2359469","","","/mutual-fund/holding-history/189266/1299/"
"Star Health and Allied Insurance Co Ltd","STARHEALTH","543412","Financial Services","175064712.75","146517000","0.14","375877","15000","4.16","/mutual-fund/holding-history/189266/746520/"
"Garware Hi-Tech Films Ltd","GRWRHITECH","500655","Basic Materials","194622300","144247000","0.14","45261","330","0.73","/mutual-fund/holding-history/189266/2089/"
"Artemis Medicare Services Ltd Ordinary Shares","ARTEMISMED","542919","Healthcare","158110987.3","143297000","0.14","566503","","","/mutual-fund/holding-history/189266/182406/"
"JK Tyre & Industries Ltd","JKTYRE","530007","Consumer Cyclical","171435209.4","141563000","0.14","456066","210000","85.34","/mutual-fund/holding-history/189266/687/"
"Orchid Pharma Ltd","ORCHPHARMA","524372","Healthcare","122404748.2","139231000","0.14","173821","","","/mutual-fund/holding-history/189266/980/"
"Digitide Solutions","","","","","129444000","0.13","888303","888303","New",""
"Mayur Uniquoters Ltd","MAYURUNIQ","522249","Consumer Cyclical","159802888","126660000","0.12","275048","","","/mutual-fund/holding-history/189266/847/"
"AstraZeneca Pharma India Ltd","ASTRAZEN","506820","Healthcare","114013121","125197000","0.12","14422","-9178","-38.89","/mutual-fund/holding-history/189266/124/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","128679536.8","123045000","0.12","119624","-150376","-55.69","/mutual-fund/holding-history/189266/219/"
"CE Info Systems Ltd","MAPMYINDIA","543425","Technology","126085815.9","116469000","0.11","64889","","","/mutual-fund/holding-history/189266/750563/"
"IRM Energy Ltd","IRMENERGY","544004","Utilities","111611417.7","113345000","0.11","393969","12300","3.22","/mutual-fund/holding-history/189266/1748143/"
"Kilburn Engineering Ltd","","522101","Industrials","107595535.5","113091000","0.11","272739","272739","New","/mutual-fund/holding-history/189266/2881/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","123127200","110880000","0.11","84000","84000","New","/mutual-fund/holding-history/189266/53219/"
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","117906158.7","109904000","0.11","267634","","","/mutual-fund/holding-history/189266/623875/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","108351250","104168000","0.1","18125","-22202","-55.05","/mutual-fund/holding-history/189266/1124672/"
"Landmark Cars Ltd","LANDMARK","543714","Consumer Cyclical","105444179.4","94028000","0.09","228333","12000","5.55","/mutual-fund/holding-history/189266/1241144/"
"Yatra Online Ltd","YATRA","543992","Consumer Cyclical","118408016.61","92741000","0.09","1114009","","","/mutual-fund/holding-history/189266/1690560/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","93430252","92238000","0.09","283810","-12000","-4.06","/mutual-fund/holding-history/189266/502/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","94224539.4","92182000","0.09","93486","-102449","-52.29","/mutual-fund/holding-history/189266/166089/"
"Vintage Coffee & Beverages Ltd","","538920","Consumer Defensive","104758808.63","90730000","0.09","935263","25417","2.79","/mutual-fund/holding-history/189266/4137/"
"MOIL Ltd","MOIL","533286","Basic Materials","104475024.5","87783000","0.09","277970","","","/mutual-fund/holding-history/189266/872/"
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","84904320.6","86516000","0.08","50847","3000","6.27","/mutual-fund/holding-history/189266/139598/"
"Arvind Fashions Ltd","ARVINDFASN","542484","Consumer Cyclical","76911444","67405000","0.07","170064","","","/mutual-fund/holding-history/189266/130968/"
