"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"eMudhra Ltd","EMUDHRA","543533","Technology","4145319104.4","3903585000","0.59","5083786","","","/mutual-fund/holding-history/10901/897537/"
"Ion Exchange (India) Ltd","IONEXCHANG","500214","Industrials","3869640876","3890051000","0.58","7161360","","","/mutual-fund/holding-history/10901/2050/"
"Fine Organic Industries Ltd Ordinary Shares","FINEORG","541557","Basic Materials","4200187059.2","3847869000","0.58","785023","","","/mutual-fund/holding-history/10901/92286/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","4024239271.3","3803115000","0.57","28385690","","","/mutual-fund/holding-history/10901/2839786/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","4115743720.2","3775437000","0.57","2812453","","","/mutual-fund/holding-history/10901/198/"
"MAS Financial Services Ltd Ordinary Shares","MASFIN","540749","Financial Services","3987495406","3677689000","0.55","11938609","","","/mutual-fund/holding-history/10901/62997/"
"Cyient Ltd","CYIENT","532175","Industrials","3617897427","3673777000","0.55","2850983","","","/mutual-fund/holding-history/10901/301/"
"Genus Power Infrastructures Ltd","GENUSPOWER","530343","Industrials","3553078698","3575136000","0.54","9589956","","","/mutual-fund/holding-history/10901/449/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","3527213400","3541435000","0.53","592560","","","/mutual-fund/holding-history/10901/1784/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","3464943407.8","3532293000","0.53","10204516","","","/mutual-fund/holding-history/10901/706/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","3336090421.5","3524654000","0.53","9924410","","","/mutual-fund/holding-history/10901/2020/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","3518958930","3524278000","0.53","559898","","","/mutual-fund/holding-history/10901/169/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","3846312500","3452200000","0.52","5125000","","","/mutual-fund/holding-history/10901/555690/"
"RBL Bank Ltd","RBLBANK","540065","Financial Services","3525123147.15","3433779000","0.52","13819135","","","/mutual-fund/holding-history/10901/4685/"
"Galaxy Surfactants Ltd","GALAXYSURF","540935","Basic Materials","3313223608.1","3377503000","0.51","1290749","","","/mutual-fund/holding-history/10901/74800/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","3140659880","3322994000","0.5","550028","","","/mutual-fund/holding-history/10901/1023/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","3394413643.6","3281300000","0.49","2496994","","","/mutual-fund/holding-history/10901/1500/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","3532353552","3275237000","0.49","2002468","","","/mutual-fund/holding-history/10901/209/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","3490595382.6","3264488000","0.49","1780371","","","/mutual-fund/holding-history/10901/338662/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","3428119314.4","3217359000","0.48","3780458","","","/mutual-fund/holding-history/10901/745/"
"Styrenix Performance Materials Ltd","STYRENIX","506222","Basic Materials","3138535327.2","3206262000","0.48","995981","","","/mutual-fund/holding-history/10901/1300/"
"Avalon Technologies Ltd","AVALON","543896","Technology","3233291934.6","3195779000","0.48","3789162","","","/mutual-fund/holding-history/10901/1416031/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","3195649540","3180073000","0.48","158948","","","/mutual-fund/holding-history/10901/202203/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","3200270360","3152756000","0.47","3265582","","","/mutual-fund/holding-history/10901/238/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","3076304132.7","3124859000","0.47","7707138","","","/mutual-fund/holding-history/10901/1364/"
"Sapphire Foods India Ltd","SAPPHIRE","543397","Consumer Cyclical","3091443371","3051994000","0.46","9282220","","","/mutual-fund/holding-history/10901/716755/"
"Indigo Paints Ltd Ordinary Shares","INDIGOPNTS","543258","Basic Materials","3120520000","3021720000","0.45","2600000","","","/mutual-fund/holding-history/10901/402502/"
"Bharat Dynamics Ltd Ordinary Shares","BDL","541143","Industrials","2622523564","2966291000","0.45","1526498","","","/mutual-fund/holding-history/10901/80210/"
"Lumax Auto Technologies Ltd","LUMAXTECH","532796","Consumer Cyclical","2855000000","2940250000","0.44","2500000","","","/mutual-fund/holding-history/10901/803/"
