"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Supreme Industries Ltd","SUPREMEIND","509930","Industrials","985722488.8","899904000","0.56","217043","","","https://trendlyne.com/mutual-fund/holding-history/20566/1324/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","911410740","889678000","0.55","2299800","","","https://trendlyne.com/mutual-fund/holding-history/20566/404/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","831558720","864569000","0.54","606800","","","https://trendlyne.com/mutual-fund/holding-history/20566/642/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","588407936","794241000","0.49","13722200","","","https://trendlyne.com/mutual-fund/holding-history/20566/856676/"
"Century Plyboards (India) Ltd","CENTURYPLY","532548","Basic Materials","731235859.2","769519000","0.48","989226","","","https://trendlyne.com/mutual-fund/holding-history/20566/252/"
"Maharashtra Seamless Ltd","MAHSEAMLES","500265","Basic Materials","753631323","764634000","0.48","1105842","","","https://trendlyne.com/mutual-fund/holding-history/20566/820/"
"Alkyl Amines Chemicals Ltd","ALKYLAMINE","506767","Basic Materials","823824894.2","749240000","0.47","384857","","","https://trendlyne.com/mutual-fund/holding-history/20566/58/"
"Sai Life Sciences Ltd","SAILIFE","544306","Healthcare","889963029.05","739349000","0.46","976747","","","https://trendlyne.com/mutual-fund/holding-history/20566/2840733/"
"PNC Infratech Ltd","PNCINFRA","539150","Industrials","787270458.75","738453000","0.46","2529383","","","https://trendlyne.com/mutual-fund/holding-history/20566/1717/"
"Carraro India Ltd","CARRARO","544320","Consumer Cyclical","663502204.8","725321000","0.45","1587136","","","https://trendlyne.com/mutual-fund/holding-history/20566/2867597/"
"Indo Count Industries Ltd","ICIL","521016","Consumer Cyclical","622051380","721155000","0.45","2471400","","","https://trendlyne.com/mutual-fund/holding-history/20566/585/"
"JK Tyre & Industries Ltd","JKTYRE","530007","Consumer Cyclical","596593757.7","675091000","0.42","1808682","","","https://trendlyne.com/mutual-fund/holding-history/20566/687/"
"Somany Ceramics Ltd","SOMANYCERA","531548","Industrials","700003890.25","654249000","0.41","1367863","","","https://trendlyne.com/mutual-fund/holding-history/20566/1264/"
"NCC Ltd","NCC","500294","Industrials","606779984","635218000","0.4","2747600","-3387448","-55.21","https://trendlyne.com/mutual-fund/holding-history/20566/918/"
"Apollo Pipes Ltd","APOLLOPIPE","531761","Industrials","558580983.4","628601000","0.39","1374292","","","https://trendlyne.com/mutual-fund/holding-history/20566/3689/"
