"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","586449787","611820000","0.82","209671","","","/mutual-fund/holding-history/137666/1430/"
"Concord Biotech Ltd","CONCORDBIO","543960","Healthcare","626706314","607423000","0.82","330193","","","/mutual-fund/holding-history/137666/1587026/"
"Awfis Space Solutions Ltd","AWFIS","544181","Industrials","571647718.4","576899000","0.78","897688","","","/mutual-fund/holding-history/137666/2278178/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","517747824","542128000","0.73","184976","","","/mutual-fund/holding-history/137666/1114/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","575252550","541410000","0.73","210330","","","/mutual-fund/holding-history/137666/49/"
"Innova Captab Ltd","INNOVACAP","544067","Healthcare","571253406.75","541013000","0.73","630001","","","/mutual-fund/holding-history/137666/1842149/"
"Birlasoft Ltd","BSOFT","532400","Technology","488981528","522102000","0.7","1204388","","","/mutual-fund/holding-history/137666/763/"
"Entero Healthcare Solutions Ltd","ENTERO","544122","Healthcare","533413389.1","510411000","0.69","444919","","","/mutual-fund/holding-history/137666/2014175/"
"Laxmi Dental Ltd","LAXMIDENTL","544339","Healthcare","553844160","501287000","0.68","1153842","","","/mutual-fund/holding-history/137666/2916661/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","422410536","446937000","0.6","286186","","","/mutual-fund/holding-history/137666/1036/"
"Ingersoll-Rand (India) Ltd","INGERRAND","500210","Industrials","387410953.5","370314000","0.5","95565","","","/mutual-fund/holding-history/137666/631/"
"Neogen Chemicals Ltd","NEOGEN","542665","Basic Materials","353366524","368654000","0.5","222523","","","/mutual-fund/holding-history/137666/141845/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","358643372","357247000","0.48","450557","","","/mutual-fund/holding-history/137666/234/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","382156011.6","351278000","0.47","261679","","","/mutual-fund/holding-history/137666/198/"
"Senco Gold Ltd","SENCO","543936","Consumer Cyclical","357276934.4","337652000","0.45","983692","","","/mutual-fund/holding-history/137666/1525832/"
"Orchid Pharma Ltd","ORCHPHARMA","524372","Healthcare","331145632.5","325137000","0.44","455183","","","/mutual-fund/holding-history/137666/980/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","262377595","279707000","0.38","173645","","","/mutual-fund/holding-history/137666/612873/"
"Zensar Technologies Ltd","ZENSARTECH","504067","Technology","264176250","273829000","0.37","325000","","","/mutual-fund/holding-history/137666/1544/"
"Aether Industries Ltd","AETHER","543534","Basic Materials","246437940","231187000","0.31","303495","","","/mutual-fund/holding-history/137666/903803/"
"Indegene Ltd","INDGN","544172","Healthcare","194461450.2","203140000","0.27","353502","","","/mutual-fund/holding-history/137666/2242832/"
"Seamec Ltd","SEAMECLTD","526807","Industrials","155322972.9","158865000","0.21","184491","-59503","-24.39","/mutual-fund/holding-history/137666/1198/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","133505754","124576000","0.17","155710","","","/mutual-fund/holding-history/137666/64356/"
"Brainbees Solutions Ltd","FIRSTCRY","544226","Consumer Cyclical","38053288","40353000","0.05","104542","","","/mutual-fund/holding-history/137666/2487439/"
"Ethos Limited","","","","","25502000","0.03","32135","32135","New",""
"KSB Ltd","KSB","500249","Industrials","6938197.2","6506000","0.01","7953","","","/mutual-fund/holding-history/137666/768/"
