"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Automotive Axles Ltd","AUTOAXLES","505010","Consumer Cyclical","1307915523","1427680000","0.22","759930","","","https://trendlyne.com/mutual-fund/holding-history/10906/135/"
"Just Dial Ltd","JUSTDIAL","535648","Communication Services","1373564581.55","1367951000","0.21","1627157","","","https://trendlyne.com/mutual-fund/holding-history/10906/704/"
"MTAR Technologies Ltd","MTARTECH","543270","Industrials","1393641216","1362696000","0.21","929280","3122","0.34","https://trendlyne.com/mutual-fund/holding-history/10906/436155/"
"Data Patterns (India) Ltd","DATAPATTNS","543428","Industrials","1301941760","1343085000","0.2","508571","","","https://trendlyne.com/mutual-fund/holding-history/10906/755079/"
"Union Bank of India","UNIONBANK","532477","Financial Services","1350737599.26","1291470000","0.2","9861558","","","https://trendlyne.com/mutual-fund/holding-history/10906/1447/"
"NIIT Ltd","NIITLTD","500304","Consumer Defensive","1255217126.02","1284550000","0.19","11111066","","","https://trendlyne.com/mutual-fund/holding-history/10906/941/"
"LMW Ltd","LMW","500252","Industrials","1294651605","1269775000","0.19","84041","","","https://trendlyne.com/mutual-fund/holding-history/10906/785/"
"Sandhar Technologies Ltd Ordinary Shares","SANDHAR","541163","Consumer Cyclical","1154806047.4","1247697000","0.19","2555446","-6819","-0.27","https://trendlyne.com/mutual-fund/holding-history/10906/80794/"
"Sanofi India Ltd","SANOFI","500674","Healthcare","1104091724","1246503000","0.19","213992","","","https://trendlyne.com/mutual-fund/holding-history/10906/1182/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","1176761018.3","1238039000","0.19","3158666","","","https://trendlyne.com/mutual-fund/holding-history/10906/1267/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","1285071403","1236401000","0.19","1644260","","","https://trendlyne.com/mutual-fund/holding-history/10906/234/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","1260459000","1220398000","0.19","1628500","","","https://trendlyne.com/mutual-fund/holding-history/10906/816269/"
"Max Estates Ltd","MAXESTATES","544008","Real Estate","1164477334.85","1215816000","0.18","2510461","","","https://trendlyne.com/mutual-fund/holding-history/10906/1771763/"
"Rainbow Childrens Medicare Ltd","RAINBOW","543524","Healthcare","1241872176.9","1196732000","0.18","785051","","","https://trendlyne.com/mutual-fund/holding-history/10906/877862/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","1194249460.2","1194786000","0.18","894837","116602","14.98","https://trendlyne.com/mutual-fund/holding-history/10906/658068/"
"Sanofi Consumer Healthcare India Ltd","SANOFICONR","544250","Healthcare","1222593750","1142951000","0.17","232875","18883","8.82","https://trendlyne.com/mutual-fund/holding-history/10906/2638456/"
"Protean eGov Technologies Ltd","","544021","Technology","1283642085","1142663000","0.17","1454140","","","https://trendlyne.com/mutual-fund/holding-history/10906/1776577/"
"Raymond Lifestyle Ltd","RAYMONDLSL","544240","Consumer Cyclical","1238342500","1137690000","0.17","990674","","","https://trendlyne.com/mutual-fund/holding-history/10906/2613901/"
"Birlasoft Ltd","BSOFT","532400","Technology","1113617960.4","1135960000","0.17","2901558","","","https://trendlyne.com/mutual-fund/holding-history/10906/763/"
"L.G.Balakrishnan & Bros Ltd","LGBBROSLTD","500250","Consumer Cyclical","1121309394.8","1122378000","0.17","890918","","","https://trendlyne.com/mutual-fund/holding-history/10906/787/"
"Aditya Birla Lifestyle Brands Ltd","ABLBL","544403","Consumer Cyclical","1090512177.98","1112847000","0.17","7755029","","","https://trendlyne.com/mutual-fund/holding-history/10906/3148199/"
"Sharda Motor Industries Ltd","SHARDAMOTR","535602","Consumer Cyclical","1111913040.8","1089018000","0.17","1035976","206636","24.92","https://trendlyne.com/mutual-fund/holding-history/10906/1769/"
"Greenlam Industries Ltd","GREENLAM","538979","Consumer Cyclical","981878472","1037695000","0.16","4422876","","","https://trendlyne.com/mutual-fund/holding-history/10906/1565/"
