"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Aadhar Housing Finance Ltd","AADHARHFC","544176","Financial Services","1211196550","1271212000","0.48","2721790","","","/mutual-fund/holding-history/6125/2249184/"
"Jana Small Finance Bank Ltd","JSFB","544118","Financial Services","1219079485.7","1246857000","0.48","2491222","","","/mutual-fund/holding-history/6125/755504/"
"Alivus Life Sciences Ltd","ALIVUS","543322","Healthcare","1163617324.8","1191240000","0.45","1079022","408031","60.81","/mutual-fund/holding-history/6125/606572/"
"Sula Vineyards Ltd","SULA","543711","Consumer Defensive","1249317529.2","1188298000","0.45","4193748","","","/mutual-fund/holding-history/6125/1190656/"
"TVS Srichakra Ltd","TVSSRICHAK","509243","Consumer Cyclical","1116946878.4","1081759000","0.41","377551","254","0.07","/mutual-fund/holding-history/6125/1431/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","1060529778","1047036000","0.4","1900591","","","/mutual-fund/holding-history/6125/157/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","1231154072.5","1032750000","0.39","3379970","3379970","New","/mutual-fund/holding-history/6125/888524/"
"Indoco Remedies Ltd","INDOCO","532612","Healthcare","1042668809","976615000","0.37","4199230","","","/mutual-fund/holding-history/6125/614/"
"Nitin Spinners Ltd","NITINSPIN","532698","Consumer Cyclical","1042914093.05","960590000","0.37","2730499","","","/mutual-fund/holding-history/6125/948/"
"Indraprastha Medical Corp Ltd","INDRAMEDCO","532150","Healthcare","1062901531.6","956276000","0.36","2396081","","","/mutual-fund/holding-history/6125/620/"
"Welspun Living Ltd","WELSPUNLIV","514162","Consumer Cyclical","1086060570.91","932752000","0.36","7331807","63215","0.87","/mutual-fund/holding-history/6125/1518/"
"Man Infraconstruction Ltd","MANINFRA","533169","Industrials","970227000","924098000","0.35","6030000","","","/mutual-fund/holding-history/6125/834/"
"Thyrocare Technologies Ltd","THYROCARE","539871","Healthcare","1055499315.75","913362000","0.35","1040157","","","/mutual-fund/holding-history/6125/2013/"
"Vishnu Prakash R Punglia Ltd","VPRPL","543974","Industrials","958215346.26","878339000","0.33","5087689","","","/mutual-fund/holding-history/6125/1636180/"
"Maharashtra Seamless Ltd","MAHSEAMLES","500265","Basic Materials","917045459.55","852411000","0.33","1300497","","","/mutual-fund/holding-history/6125/820/"
"Embassy Developments Ltd","EMBDL","532832","Real Estate","824704503.18","780352000","0.3","7962774","","","/mutual-fund/holding-history/6125/580/"
"The Shipping Corp of India Ltd","SCI","523598","Industrials","884637412.76","774172000","0.3","4349036","1693003","63.74","/mutual-fund/holding-history/6125/1196/"
"BASF India Ltd","BASF","500042","Basic Materials","895042436.5","749073000","0.29","170585","","","/mutual-fund/holding-history/6125/166/"
"Capacit'e Infraprojects Ltd","CAPACITE","540710","Industrials","723099443.2","709521000","0.27","2026624","","","/mutual-fund/holding-history/6125/60599/"
"Castrol India Ltd","CASTROLIND","500870","Energy","642436933.66","613104000","0.23","3100714","857143","38.2","/mutual-fund/holding-history/6125/241/"
"Sandur Manganese And Iron Ores Ltd","","504918","Basic Materials","680644000","595628000","0.23","1294000","","","/mutual-fund/holding-history/6125/2200/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","640461108.6","585666000","0.22","735993","","","/mutual-fund/holding-history/6125/829878/"
"Exicom Tele-Systems Ltd","EXICOM","544133","Industrials","682370535.63","582283000","0.22","3776889","","","/mutual-fund/holding-history/6125/2077200/"
"The Orissa Minerals Development Co Ltd","ORISSAMINE","590086","Basic Materials","546536195","542639000","0.21","107059","","","/mutual-fund/holding-history/6125/990/"
"Oriental Hotels Ltd","ORIENTHOT","500314","Consumer Cyclical","537648995.52","498261000","0.19","3516804","","","/mutual-fund/holding-history/6125/986/"
"Rishabh Instruments Ltd","RISHABH","543977","Technology","578310814.9","485584000","0.19","1897034","","","/mutual-fund/holding-history/6125/1650515/"
"MOIL Ltd","MOIL","533286","Basic Materials","483594096.2","406384000","0.15","1286839","","","/mutual-fund/holding-history/6125/872/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","424554972.8","393215000","0.15","865732","","","/mutual-fund/holding-history/6125/1504/"
