"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Eureka Forbes Ltd","EUREKAFORB","543482","Consumer Cyclical","321539411.9","342604000","0.26","574742","","","/mutual-fund/holding-history/189266/850674/"
"SIS Ltd Ordinary Shares","SIS","540673","Industrials","354651559.2","336478000","0.26","908664","-108844","-10.7","/mutual-fund/holding-history/189266/57882/"
"KEC International Ltd","KEC","532714","Industrials","316656550.35","335274000","0.26","365043","","","/mutual-fund/holding-history/189266/727/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","210259294.02","334716000","0.26","2161827","","","/mutual-fund/holding-history/189266/878/"
"Aditya Birla Sun Life AMC Ltd","ABSLAMC","543374","Financial Services","370281361.85","330380000","0.25","413053","","","/mutual-fund/holding-history/189266/674158/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","309423687.1","328630000","0.25","218999","-32001","-12.75","/mutual-fund/holding-history/189266/1127/"
"National Aluminium Co Ltd","NATIONALUM","532234","Basic Materials","332794800","325663000","0.25","1690000","","","/mutual-fund/holding-history/189266/911/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","318203078.55","324771000","0.25","938237","60000","6.83","/mutual-fund/holding-history/189266/706/"
"Zee Entertainment Enterprises Ltd","ZEEL","505537","Communication Services","287136544.9","313550000","0.24","2143930","","","/mutual-fund/holding-history/189266/1537/"
"RHI Magnesita India Ltd","RHIM","534076","Industrials","328370794.2","304154000","0.23","638978","","","/mutual-fund/holding-history/189266/989/"
"Godrej Industries Ltd","GODREJIND","500164","Industrials","278383889","303095000","0.23","243215","-68836","-22.06","/mutual-fund/holding-history/189266/477/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","336395924.9","302108000","0.23","448498","","","/mutual-fund/holding-history/189266/555690/"
"Keystone Realtors Ltd","RUSTOMJEE","543669","Real Estate","299253465.6","292683000","0.23","477888","","","/mutual-fund/holding-history/189266/1131322/"
"Emcure Pharmaceuticals Ltd","EMCURE","544210","Healthcare","319281237.9","289743000","0.22","223947","","","/mutual-fund/holding-history/189266/2393790/"
"Alicon Castalloy Ltd","ALICON","531147","Industrials","296701390.55","276858000","0.21","310049","","","/mutual-fund/holding-history/189266/56/"
"Punjab National Bank","PNB","532461","Financial Services","270625808.4","273397000","0.21","2474180","-2279557","-47.95","/mutual-fund/holding-history/189266/1048/"
"Pondy Oxides And Chemicals Ltd","","532626","Basic Materials","299777799.1","271322000","0.21","311506","57159","22.47","/mutual-fund/holding-history/189266/1055/"
"Quess Corp Ltd","QUESS","539978","Industrials","277861178.4","268312000","0.21","888303","","","/mutual-fund/holding-history/189266/4595/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","301120382.55","265446000","0.2","1004907","-600000","-37.39","/mutual-fund/holding-history/189266/589490/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","250354346.8","264781000","0.2","745546","","","/mutual-fund/holding-history/189266/2020/"
"INOX Green Energy Services Ltd","INOXGREEN","543667","Utilities","284352763.5","263662000","0.2","1700166","134100","8.56","/mutual-fund/holding-history/189266/1127763/"
"Satin Creditcare Network Ltd","SATIN","539404","Financial Services","242546575.11","261937000","0.2","1543801","12000","0.78","/mutual-fund/holding-history/189266/1768/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","291114460","259559000","0.2","288575","33000","12.91","/mutual-fund/holding-history/189266/685/"
"Sterlite Technologies Ltd","STLTECH","532374","Technology","282357655.23","248311000","0.19","2359469","","","/mutual-fund/holding-history/189266/1299/"
"Steel Strips Wheels Ltd","SSWL","513262","Consumer Cyclical","221780406.7","247124000","0.19","901913","-59094","-6.15","/mutual-fund/holding-history/189266/1290/"
"Ujjivan Small Finance Bank Ltd Ordinary Shares","UJJIVANSFB","542904","Financial Services","238098278.25","247068000","0.19","5039117","-870000","-14.72","/mutual-fund/holding-history/189266/175415/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","224755973","246380000","0.19","27547","-42200","-60.5","/mutual-fund/holding-history/189266/853/"
"Heritage Foods Ltd","HERITGFOOD","519552","Consumer Defensive","231890801.6","239921000","0.18","482302","","","/mutual-fund/holding-history/189266/539/"
"Gulf Oil Lubricants India Ltd","GULFOILLUB","538567","Basic Materials","234555631.2","239662000","0.18","189816","-3220","-1.67","/mutual-fund/holding-history/189266/518/"
"GMM Pfaudler Ltd","GMMPFAUDLR","505255","Industrials","260598810","236085000","0.18","198174","","","/mutual-fund/holding-history/189266/2213/"
"Rane Holdings Ltd","RANEHOLDIN","505800","Consumer Cyclical","231743897.6","232416000","0.18","146008","","","/mutual-fund/holding-history/189266/1111/"
"Concord Enviro Systems Ltd","CEWATER","544315","Utilities","249975485.25","232168000","0.18","403805","","","/mutual-fund/holding-history/189266/2866112/"
