"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Schneider Electric Infrastructure Ltd","SCHNEIDER","534139","Industrials","164018250","135243000","0.83","235000","","","/mutual-fund/holding-history/138033/1195/"
"Shanthi Gears Ltd","SHANTIGEAR","522034","Industrials","136814250","135233000","0.83","285000","","","/mutual-fund/holding-history/138033/1213/"
"Vinati Organics Ltd","VINATIORGA","524200","Basic Materials","153011389","134887000","0.82","83023","","","/mutual-fund/holding-history/138033/1485/"
"Kernex Microsystems (India) Ltd","KERNEX","532686","Technology","198044776.4","132970000","0.81","181876","","","/mutual-fund/holding-history/138033/731/"
"Gufic Biosciences Ltd","GUFICBIO","509079","Healthcare","132364585","126829000","0.77","344924","","","/mutual-fund/holding-history/138033/509/"
"KSB Ltd","KSB","500249","Industrials","141210500","124551000","0.76","170000","","","/mutual-fund/holding-history/138033/768/"
"Tinna Rubber & Infrastructure Ltd","","530475","Basic Materials","131409278","124340000","0.76","131278","","","/mutual-fund/holding-history/138033/3340/"
"Sanstar Ltd","SANSTAR","544217","Basic Materials","123983108.34","123382000","0.75","1335737","","","/mutual-fund/holding-history/138033/2444060/"
"Titagarh Rail Systems Ltd","TITAGARH","532966","Industrials","153011928","121741000","0.74","162952","","","/mutual-fund/holding-history/138033/1434/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","129632576","115990000","0.71","46880","","","/mutual-fund/holding-history/138033/877860/"
"Jupiter Wagons Ltd","JWL","533272","Industrials","129591143.15","114725000","0.7","323533","","","/mutual-fund/holding-history/138033/245/"
"Godavari Biorefineries Ltd","GODAVARIB","544279","Basic Materials","169669280","110378000","0.67","647000","","","/mutual-fund/holding-history/138033/2729499/"
"Advanced Enzyme Technologies Ltd","ADVENZYMES","540025","Basic Materials","110142000","103050000","0.63","360000","","","/mutual-fund/holding-history/138033/4635/"
"Sterling and Wilson Renewable Energy Ltd","SWSOLAR","542760","Technology","92186250","88205000","0.54","325000","","","/mutual-fund/holding-history/138033/155630/"
"Rane Holdings Ltd","RANEHOLDIN","505800","Consumer Cyclical","87478158.6","74516000","0.45","58098","","","/mutual-fund/holding-history/138033/1111/"
"Stylam Industries Ltd","STYLAMIND","526951","Consumer Cyclical","79997400","68656000","0.42","43536","43536","New","/mutual-fund/holding-history/138033/3226/"
