"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"PI Industries Ltd","PIIND","523642","Basic Materials","52681282.5","48580000","0.84","12705","","","/mutual-fund/holding-history/134856/1038/"
"REC Ltd","RECLTD","532955","Financial Services","46176515","46269000","0.8","115010","","","/mutual-fund/holding-history/134856/1119/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","41535211","42843000","0.74","50591","50591","New","/mutual-fund/holding-history/134856/685/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","BECTORFOOD","543253","Consumer Defensive","40468388.2","42544000","0.74","29158","","","/mutual-fund/holding-history/134856/369403/"
"Saregama India Ltd","SAREGAMA","532163","Communication Services","41191437","41157000","0.72","75859","","","/mutual-fund/holding-history/134856/1185/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","39528257.65","39462000","0.69","120019","","","/mutual-fund/holding-history/134856/502/"
"PNC Infratech Ltd","PNCINFRA","539150","Industrials","37804765.5","36444000","0.63","124830","","","/mutual-fund/holding-history/134856/1717/"
"Tata Technologies Ltd","TATATECH","544028","Technology","35307646","36421000","0.63","47080","","","/mutual-fund/holding-history/134856/1792699/"
"S.P. Apparels Ltd","SPAL","540048","Consumer Cyclical","35553051.3","35995000","0.63","44603","-20540","-31.53","/mutual-fund/holding-history/134856/4656/"
"Gillette India Ltd","GILLETTE","507815","Consumer Defensive","37413821.5","34780000","0.6","3691","3691","New","/mutual-fund/holding-history/134856/456/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","29891445.65","30354000","0.53","38071","","","/mutual-fund/holding-history/134856/816269/"
"VRL Logistics Ltd","VRLLOG","539118","Industrials","28327213.2","28382000","0.49","49907","","","/mutual-fund/holding-history/134856/1688/"
"Ador Welding Ltd","ADOR","517041","Industrials","25821675.1","25161000","0.44","25646","","","/mutual-fund/holding-history/134856/31/"
"Suraj Estate Developers Ltd","SURAJEST","544054","Real Estate","27132192","23416000","0.41","72936","","","/mutual-fund/holding-history/134856/1825585/"
"Quality Power Electrical Equipments Ltd","QPOWER","544367","Industrials","24742434.6","22778000","0.4","47268","-170342","-78.28","/mutual-fund/holding-history/134856/2978666/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","17236759","17075000","0.3","4930","4930","New","/mutual-fund/holding-history/134856/1372/"
"Atul Ltd","ATUL","500027","Basic Materials","11279192.5","11097000","0.19","1555","1555","New","/mutual-fund/holding-history/134856/129/"
"Cello World Ltd","CELLO","544012","Consumer Cyclical","842567.4","856000","0.01","1389","1389","New","/mutual-fund/holding-history/134856/1767397/"
