"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sai Life Sciences Ltd","SAILIFE","544306","Healthcare","1843078717","1763726000","0.3","2531180","","","/mutual-fund/holding-history/10901/2840733/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","1828775000","1754025000","0.3","3250000","550000","20.37","/mutual-fund/holding-history/10901/71/"
"Thyrocare Technologies Ltd","THYROCARE","539871","Healthcare","1997125621.2","1730487000","0.3","1970718","","","/mutual-fund/holding-history/10901/2013/"
"Godrej Agrovet Ltd Ordinary Shares","GODREJAGRO","540743","Consumer Defensive","1689161775.6","1726024000","0.3","2240862","","","/mutual-fund/holding-history/10901/62812/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","1934226801.1","1681825000","0.29","484271","","","/mutual-fund/holding-history/10901/406/"
"Bajaj Electricals Ltd","BAJAJELEC","500031","Consumer Cyclical","2089404146.85","1669135000","0.29","3062071","","","/mutual-fund/holding-history/10901/146/"
"Narayana Hrudayalaya Ltd","NH","539551","Healthcare","1645315869.8","1662217000","0.29","944173","","","/mutual-fund/holding-history/10901/1886/"
"Castrol India Ltd","CASTROLIND","500870","Energy","1732006434.08","1654762000","0.29","8368798","","","/mutual-fund/holding-history/10901/241/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","1948531826.85","1639923000","0.28","5367117","3239014","152.2","/mutual-fund/holding-history/10901/888524/"
"Bajaj Consumer Care Ltd","BAJAJCON","533229","Consumer Defensive","1783643939.4","1637676000","0.28","9856020","","","/mutual-fund/holding-history/10901/145/"
"Harsha Engineers International Ltd","HARSHA","543600","Industrials","1606551134.4","1554220000","0.27","4136864","","","/mutual-fund/holding-history/10901/1037930/"
"Texmaco Rail & Engineering Ltd","TEXRAIL","533326","Industrials","1813996497","1537334000","0.26","11408783","","","/mutual-fund/holding-history/10901/1380/"
"Esab India Ltd","ESABINDIA","500133","Industrials","1714822972","1524905000","0.26","326882","","","/mutual-fund/holding-history/10901/386/"
"Just Dial Ltd","JUSTDIAL","535648","Communication Services","1465743025.6","1524321000","0.26","1627157","","","/mutual-fund/holding-history/10901/704/"
"Allied Blenders and Distillers Ltd","ABDL","544203","Consumer Defensive","2000042705.8","1516942000","0.26","4937158","2184","0.04","/mutual-fund/holding-history/10901/2365668/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","1583690659.2","1512225000","0.26","937872","","","/mutual-fund/holding-history/10901/665/"
"West Coast Paper Mills Ltd","WSTCSTPAPR","500444","Basic Materials","1653559800.75","1494838000","0.26","3359187","10877","0.32","/mutual-fund/holding-history/10901/1530/"
