"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Finolex Cables Ltd","FINCABLES","500144","Industrials","828013510","882326000","0.79","900700","","","/mutual-fund/holding-history/137723/416/"
"ACME Solar Holdings Ltd","ACMESOLAR","544283","Utilities","993812065.18","873327000","0.78","3504521","","","/mutual-fund/holding-history/137723/2759890/"
"Alivus Life Sciences Ltd","ALIVUS","543322","Healthcare","836903709.4","801667000","0.72","797203","169300","26.96","/mutual-fund/holding-history/137723/606572/"
"R R Kabel Ltd","RRKABEL","543981","Industrials","770843973.2","727270000","0.65","539278","","","/mutual-fund/holding-history/137723/1681351/"
"Eureka Forbes Ltd","EUREKAFORB","543482","Consumer Cyclical","627949840","668430000","0.6","1121339","","","/mutual-fund/holding-history/137723/850674/"
"Ramco Industries Ltd","RAMCOIND","532369","Industrials","672267841.65","630173000","0.56","2281581","","","/mutual-fund/holding-history/137723/1104/"
"Vardhman Special Steels Ltd","VSSL","534392","Basic Materials","622598811.75","623193000","0.56","2378601","","","/mutual-fund/holding-history/137723/1501/"
"Allcargo Logistics Ltd","ALLCARGO","532749","Industrials","605114548.48","606484000","0.54","17112968","","","/mutual-fund/holding-history/137723/59/"
"MM Forgings Ltd","MMFL","522241","Industrials","573846918.3","605373000","0.54","1576286","","","/mutual-fund/holding-history/137723/868/"
"Rallis India Ltd","RALLIS","500355","Basic Materials","630470526.4","562337000","0.5","1735877","","","/mutual-fund/holding-history/137723/1101/"
"Eveready Industries India Ltd","EVEREADY","531508","Industrials","734519098.8","556696000","0.5","1772916","","","/mutual-fund/holding-history/137723/398/"
"Natco Pharma Ltd","NATCOPHARM","524816","Healthcare","556256738.4","508790000","0.46","549064","","","/mutual-fund/holding-history/137723/908/"
"Ganesha Ecosphere Ltd","GANECOS","514167","Consumer Cyclical","512123464.8","502807000","0.45","336348","","","/mutual-fund/holding-history/137723/1563/"
"Netweb Technologies India Ltd","NETWEB","543945","Technology","503568386.2","490827000","0.44","266002","","","/mutual-fund/holding-history/137723/1544933/"
"Bluspring Enterprises Ltd","BLUSPRING","544414","Industrials","441542740","364861000","0.33","4804600","4804600","New","/mutual-fund/holding-history/137723/3135583/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","307633007.75","298193000","0.27","502135","","","/mutual-fund/holding-history/137723/157/"
"Automotive Axles Ltd","AUTOAXLES","505010","Consumer Cyclical","255266438.4","256700000","0.23","143392","","","/mutual-fund/holding-history/137723/135/"
"Transindia Real Estate Ltd","","543955","Real Estate","105997178.88","110362000","0.1","3095712","","","/mutual-fund/holding-history/137723/1611703/"
"POWERGRID Infrastructure Investment Trust Units","PGINVIT","543290","Utilities","97671600","94552000","0.08","1043500","","","/mutual-fund/holding-history/137723/481511/"
