"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Juniper Hotels Ltd","JUNIPER","544129","Consumer Cyclical","1913812586.5","1727245000","0.58","5979730","","","/mutual-fund/holding-history/6125/2049000/"
"Gujarat State Fertilizers & Chemicals Ltd","GSFC","500690","Basic Materials","1548319748.58","1564794000","0.53","7662294","","","/mutual-fund/holding-history/6125/499/"
"Himadri Speciality Chemical Ltd","HSCL","500184","Basic Materials","1524973200","1545115000","0.52","2984000","","","/mutual-fund/holding-history/6125/529/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","1568684838","1501316000","0.51","1315790","","","/mutual-fund/holding-history/6125/764/"
"Indoco Remedies Ltd","INDOCO","532612","Healthcare","1307430260.5","1333675000","0.45","4199230","","","/mutual-fund/holding-history/6125/614/"
"Jana Small Finance Bank Ltd","JSFB","544118","Financial Services","1215342652.7","1276502000","0.43","2491222","","","/mutual-fund/holding-history/6125/755504/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","1459050733.8","1274298000","0.43","3328886","28471","0.86","/mutual-fund/holding-history/6125/888524/"
"Sula Vineyards Ltd","SULA","543711","Consumer Defensive","1240091283.6","1273222000","0.43","4193748","","","/mutual-fund/holding-history/6125/1190656/"
"Alivus Life Sciences Ltd","ALIVUS","543322","Healthcare","1310769322.8","1255103000","0.42","1248114","","","/mutual-fund/holding-history/6125/606572/"
"Indraprastha Medical Corp Ltd","INDRAMEDCO","532150","Healthcare","1130111603.65","1162938000","0.39","2396081","","","/mutual-fund/holding-history/6125/620/"
"TVS Srichakra Ltd","TVSSRICHAK","509243","Consumer Cyclical","1169690753.1","1139864000","0.38","377551","","","/mutual-fund/holding-history/6125/1431/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","1161261101","1128666000","0.38","1900591","","","/mutual-fund/holding-history/6125/157/"
"Man Infraconstruction Ltd","MANINFRA","533169","Industrials","1074968100","1093239000","0.37","6030000","","","/mutual-fund/holding-history/6125/834/"
"Nitin Spinners Ltd","NITINSPIN","532698","Consumer Cyclical","1082096753.7","1074451000","0.36","2730499","","","/mutual-fund/holding-history/6125/948/"
"PG Electroplast Ltd","PGEL","533581","Technology","1114331919.6","1061379000","0.36","1406452","","","/mutual-fund/holding-history/6125/1031/"
"Oswal Pumps Ltd","OSWALPUMPS","544418","Industrials","1107411144.5","1032362000","0.35","1465799","1465799","New","/mutual-fund/holding-history/6125/3134742/"
"Thyrocare Technologies Ltd","THYROCARE","539871","Healthcare","1230661754.55","1030276000","0.35","1040157","","","/mutual-fund/holding-history/6125/2013/"
"Maharashtra Seamless Ltd","MAHSEAMLES","500265","Basic Materials","919451379","992149000","0.33","1300497","","","/mutual-fund/holding-history/6125/820/"
"Embassy Developments Ltd","EMBDL","532832","Real Estate","949481171.76","989056000","0.33","7962774","","","/mutual-fund/holding-history/6125/580/"
"BASF India Ltd","BASF","500042","Basic Materials","864183610","880645000","0.3","170585","","","/mutual-fund/holding-history/6125/166/"
"Suven Life Sciences Limited - Warrant","","","","","867954000","0.29","4701490","4701490","New",""
"Vishnu Prakash R Punglia Ltd","VPRPL","543974","Industrials","871215864.36","856512000","0.29","5087689","","","/mutual-fund/holding-history/6125/1636180/"
"Exicom Tele-Systems Ltd","EXICOM","544133","Industrials","648945067.98","745596000","0.25","3776889","","","/mutual-fund/holding-history/6125/2077200/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","678217549.5","715974000","0.24","735993","","","/mutual-fund/holding-history/6125/829878/"
"Castrol India Ltd","CASTROLIND","500870","Energy","682932258.5","687521000","0.23","3100714","","","/mutual-fund/holding-history/6125/241/"
"Capacit'e Infraprojects Ltd","CAPACITE","540710","Industrials","663314035.2","676487000","0.23","2026624","","","/mutual-fund/holding-history/6125/60599/"
"Newgen Software Technologies Ltd","NEWGEN","540900","Technology","457350447.8","590094000","0.2","503579","","","/mutual-fund/holding-history/6125/73363/"
"Rishabh Instruments Ltd","RISHABH","543977","Technology","545112719.9","559151000","0.19","1897034","","","/mutual-fund/holding-history/6125/1650515/"
"Vinati Organics Ltd","VINATIORGA","524200","Basic Materials","536868660.9","545145000","0.18","275869","86869","45.96","/mutual-fund/holding-history/6125/1485/"
"Oriental Hotels Ltd","ORIENTHOT","500314","Consumer Cyclical","521999217.72","534027000","0.18","3516804","","","/mutual-fund/holding-history/6125/986/"
"The Orissa Minerals Development Co Ltd","ORISSAMINE","590086","Basic Materials","564436459.8","529353000","0.18","107059","","","/mutual-fund/holding-history/6125/990/"
"SMS Pharmaceuticals Ltd","SMSPHARMA","532815","Healthcare","451977961.3","464961000","0.16","1854649","71390","4","/mutual-fund/holding-history/6125/1259/"
"Prime Securities Ltd","PRIMESECU","500337","Financial Services","470810949.7","455780000","0.15","1649942","","","/mutual-fund/holding-history/6125/1073/"
"Aadhar Housing Finance Ltd","AADHARHFC","544176","Financial Services","496439148.4","434169000","0.15","955058","-684100","-41.73","/mutual-fund/holding-history/6125/2249184/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","420918898.4","433342000","0.15","865732","","","/mutual-fund/holding-history/6125/1504/"
